case_id,model_variant,include_chi_prime,n_active,chi_t_over_2pi,target_family,random_seed,waveform_family,pulse_duration_ns,average_gate_fidelity,restricted_process_fidelity,restricted_fro_error,restricted_unitarity_error,state_transfer_fidelity_mean,state_transfer_fidelity_min,same_block_population_mean,same_block_population_min,other_target_population_mean,other_target_population_max,leakage_outside_target_mean,leakage_outside_target_max,weighted_loss,mean_residual_z_error_rad,max_residual_z_error_rad,mean_transverse_error_rad,max_transverse_error_rad,state_validation_ground_fidelity,state_validation_plus_fidelity,optimizer_success,optimizer_nfev,optimizer_runtime_s
chi_only_na2_chiT3p0_targetC,chi_only,False,2,3.0,C,,baseline_multitone,1056.3380281690138,0.8733594709574568,0.841699338696821,0.4066197815447503,1.6670511012176602e-06,0.8627390652566744,0.7679236963641104,1.0000000000000004,1.0000000000000002,0.0,0.0,0.0,0.0,0.18154495246327113,0.07348482145191505,0.0924563078451696,0.7855805320413038,1.0054231689959858,0.840732867827353,0.8947295885753048,,,
chi_only_na2_chiT3p0_targetC,chi_only,False,2,3.0,C,,symmetric_two_segment,1056.3380281690138,0.871677583657201,0.8395969795715013,0.40942917172857973,3.587975548434118e-07,0.8608822188243922,0.7656086296634349,1.0,0.9999999999999998,0.0,0.0,1.3877787807814457e-16,2.220446049250313e-16,0.1839695351991677,0.07166293226376512,0.09131227619574805,0.7919872209418143,1.010886522896281,0.8386649471555636,0.8931935821046266,True,59.0,2.636185100000148
chi_only_na2_chiT3p0_targetC,chi_only,False,2,3.0,C,,echoed_multitone,1056.3380281690138,0.20948713017630544,0.011858912720381809,1.4890478769324225,1.3544011409139261e-06,0.18341636291048766,0.01180832182883964,1.0,0.9999999999999999,0.0,0.0,2.7755575615628914e-17,1.1102230246251565e-16,1.1171462851634515,0.03557328437736615,0.037833968352934295,2.404461269343878,2.638144086905685,0.011886514536645285,0.01454190617339121,False,120.0,5.33643579999989
chi_only_na2_chiT3p0_targetC,chi_only,False,2,3.0,C,,complex_envelope,1056.3380281690138,0.8722550938588469,0.8403188673235588,0.4084662453259046,6.044137449432948e-07,0.8615422233441828,0.7663315890792215,1.0,0.9999999999999999,0.0,0.0,2.7755575615628914e-17,1.1102230246251565e-16,0.1831280347619747,0.07396945124331583,0.09294394752929026,0.7895311750430218,1.0091935183017,0.8393464765863881,0.8936074506933314,True,60.0,2.6994276999976137
chi_only_na2_chiT3p0_targetC,chi_only,False,2,3.0,C,,basis_expanded,1056.3380281690138,0.8722557043080947,0.8403196303851183,0.4084652318397939,6.984241634396439e-07,0.861542777715872,0.7663366981874065,1.0000000000000002,1.0000000000000002,0.0,0.0,0.0,0.0,0.18312718301927547,0.073966323139283,0.09294301983551037,0.789532960174006,1.009181204985161,0.8393468929207566,0.8936072162632404,True,66.0,2.9956086999991385
chi_only_na2_chiT3p0_targetD_seed92240,chi_only,False,2,3.0,D,92240.0,baseline_multitone,1056.3380281690138,0.43952242755370674,0.2994030344421335,1.7590603286435782,2.616187987390914e-06,0.4474274432298246,0.16562168242117759,1.0,1.0,0.0,0.0,0.0,0.0,0.7815066657291704,0.7894742503736365,1.213745489052813,1.7599125363451908,2.0887985799119533,0.3958447329050548,0.3433860374146889,,,
chi_only_na2_chiT3p0_targetD_seed92240,chi_only,False,2,3.0,D,92240.0,symmetric_two_segment,1056.3380281690138,0.430044306672027,0.2875553833400337,1.7528321524679955,2.8634461465313894e-06,0.4286820433701175,0.1818058165823513,1.0000000000000004,1.0,0.0,0.0,0.0,0.0,0.7984828065458087,0.7348719400324618,1.1193468489577758,1.8210591181969606,2.1369754688911757,0.37093873362105145,0.32874730961352394,True,69.0,4.130489099999977
chi_only_na2_chiT3p0_targetD_seed92240,chi_only,False,2,3.0,D,92240.0,echoed_multitone,1056.3380281690138,0.41980476579385895,0.27475595724232377,0.975609113008722,4.446386386625273e-06,0.46240895909099494,0.2731517758056423,0.9999999999999999,0.9999999999999997,0.0,0.0,1.3877787807814457e-16,3.3306690738754696e-16,0.7952316156175633,1.196274706972628,1.3784437334237143,1.6251148640991535,1.8483748911802718,0.2731501255742676,0.36836419494166334,False,120.0,6.115064000001439
chi_only_na2_chiT3p0_targetD_seed92240,chi_only,False,2,3.0,D,92240.0,complex_envelope,1056.3380281690138,0.44667720398458355,0.3083465049807294,1.7636635354395476,9.71499192509666e-07,0.45150037958292477,0.19770432512787597,1.0,0.9999999999999998,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,0.7727226566073417,0.7676040001884193,1.1897487382816316,1.752021527646844,2.035727177111823,0.4008319151655806,0.3476660750359761,True,61.0,3.1458578999991005
chi_only_na2_chiT3p0_targetD_seed92240,chi_only,False,2,3.0,D,92240.0,basis_expanded,1056.3380281690138,0.44787247666483704,0.3098405958310463,1.7644249845708224,4.505290473240802e-07,0.45239771555704966,0.20065103111177293,0.9999999999999998,0.9999999999999994,0.0,0.0,2.498001805406602e-16,5.551115123125783e-16,0.7711684385667565,0.7650342551806376,1.185665024797018,1.7500482594459932,2.0305482095094685,0.4018967295258432,0.3489296883173793,True,81.0,4.183063200001925
