time_ns,analytic_phase_rad,helper_phase_rad,hamiltonian_phase_rad,helper_wrapped_error_rad,hamiltonian_wrapped_error_rad,helper_vs_hamiltonian_wrapped_difference_rad
0,0,0,0,0,0,0
7.04225352113,0.125663706144,0.125663706144,0.125663706144,0,0,0
14.0845070423,0.251327412287,0.251327412287,0.251327412287,0,0,0
21.1267605634,0.376991118431,0.376991118431,0.376991118431,0,0,0
28.1690140845,0.502654824574,0.502654824574,0.502654824574,0,0,0
35.2112676056,0.628318530718,0.628318530718,0.628318530718,0,0,0
42.2535211268,0.753982236862,0.753982236862,0.753982236862,0,0,0
49.2957746479,0.879645943005,0.879645943005,0.879645943005,0,0,0
56.338028169,1.00530964915,1.00530964915,1.00530964915,0,0,0
63.3802816901,1.13097335529,1.13097335529,1.13097335529,0,0,0
70.4225352113,1.25663706144,1.25663706144,1.25663706144,0,0,0
77.4647887324,1.38230076758,1.38230076758,1.38230076758,0,0,0
84.5070422535,1.50796447372,1.50796447372,1.50796447372,0,0,0
91.5492957746,1.63362817987,1.63362817987,1.63362817987,0,0,0
98.5915492958,1.75929188601,1.75929188601,1.75929188601,0,0,0
105.633802817,1.88495559215,1.88495559215,1.88495559215,0,0,0
112.676056338,2.0106192983,2.0106192983,2.0106192983,0,0,0
119.718309859,2.13628300444,2.13628300444,2.13628300444,0,0,0
126.76056338,2.26194671058,2.26194671058,2.26194671058,0,0,0
133.802816901,2.38761041673,2.38761041673,2.38761041673,0,0,0
140.845070423,2.51327412287,2.51327412287,2.51327412287,0,0,0
147.887323944,2.63893782902,2.63893782902,2.63893782902,0,0,0
154.929577465,2.76460153516,2.76460153516,2.76460153516,0,0,0
161.971830986,2.8902652413,2.8902652413,2.8902652413,0,0,0
169.014084507,3.01592894745,3.01592894745,3.01592894745,0,0,0
176.056338028,3.14159265359,3.14159265359,3.14159265359,0,0,0
183.098591549,3.26725635973,3.26725635973,3.26725635973,-4.4408920985e-16,-4.4408920985e-16,0
190.14084507,3.39292006588,3.39292006588,3.39292006588,-4.4408920985e-16,-4.4408920985e-16,0
197.183098592,3.51858377202,3.51858377202,3.51858377202,-4.4408920985e-16,-4.4408920985e-16,0
204.225352113,3.64424747816,3.64424747816,3.64424747816,-4.4408920985e-16,-4.4408920985e-16,0
211.267605634,3.76991118431,3.76991118431,3.76991118431,0,0,0
218.309859155,3.89557489045,3.89557489045,3.89557489045,-4.4408920985e-16,-4.4408920985e-16,0
225.352112676,4.02123859659,4.02123859659,4.02123859659,0,0,0
232.394366197,4.14690230274,4.14690230274,4.14690230274,0,0,0
239.436619718,4.27256600888,4.27256600888,4.27256600888,-8.881784197e-16,-8.881784197e-16,0
246.478873239,4.39822971503,4.39822971503,4.39822971503,0,0,0
253.521126761,4.52389342117,4.52389342117,4.52389342117,0,0,0
260.563380282,4.64955712731,4.64955712731,4.64955712731,0,0,0
267.605633803,4.77522083346,4.77522083346,4.77522083346,0,0,0
274.647887324,4.9008845396,4.9008845396,4.9008845396,0,0,0
281.690140845,5.02654824574,5.02654824574,5.02654824574,0,0,0
288.732394366,5.15221195189,5.15221195189,5.15221195189,0,0,0
295.774647887,5.27787565803,5.27787565803,5.27787565803,0,0,0
302.816901408,5.40353936417,5.40353936417,5.40353936417,0,0,0
309.85915493,5.52920307032,5.52920307032,5.52920307032,0,0,0
316.901408451,5.65486677646,5.65486677646,5.65486677646,0,0,0
323.943661972,5.78053048261,5.78053048261,5.78053048261,0,0,0
330.985915493,5.90619418875,5.90619418875,5.90619418875,0,0,0
338.028169014,6.03185789489,6.03185789489,6.03185789489,0,0,0
345.070422535,6.15752160104,6.15752160104,6.15752160104,0,0,0
352.112676056,6.28318530718,6.28318530718,6.28318530718,0,0,0
