time_ns,analytic_phase_rad,numerical_phase_dim2_rad,numerical_phase_dim3_rad
0,0,0,0
7.04225352113,0.125663706144,0.125663706144,0.125663706144
14.0845070423,0.251327412287,0.251327412287,0.251327412287
21.1267605634,0.376991118431,0.376991118431,0.376991118431
28.1690140845,0.502654824574,0.502654824574,0.502654824574
35.2112676056,0.628318530718,0.628318530718,0.628318530718
42.2535211268,0.753982236862,0.753982236862,0.753982236862
49.2957746479,0.879645943005,0.879645943005,0.879645943005
56.338028169,1.00530964915,1.00530964915,1.00530964915
63.3802816901,1.13097335529,1.13097335529,1.13097335529
70.4225352113,1.25663706144,1.25663706144,1.25663706144
77.4647887324,1.38230076758,1.38230076758,1.38230076758
84.5070422535,1.50796447372,1.50796447372,1.50796447372
91.5492957746,1.63362817987,1.63362817987,1.63362817987
98.5915492958,1.75929188601,1.75929188601,1.75929188601
105.633802817,1.88495559215,1.88495559215,1.88495559215
112.676056338,2.0106192983,2.0106192983,2.0106192983
119.718309859,2.13628300444,2.13628300444,2.13628300444
126.76056338,2.26194671058,2.26194671058,2.26194671058
133.802816901,2.38761041673,2.38761041673,2.38761041673
140.845070423,2.51327412287,2.51327412287,2.51327412287
147.887323944,2.63893782902,2.63893782902,2.63893782902
154.929577465,2.76460153516,2.76460153516,2.76460153516
161.971830986,2.8902652413,2.8902652413,2.8902652413
169.014084507,3.01592894745,3.01592894745,3.01592894745
176.056338028,3.14159265359,3.14159265359,3.14159265359
183.098591549,3.26725635973,3.26725635973,3.26725635973
190.14084507,3.39292006588,3.39292006588,3.39292006588
197.183098592,3.51858377202,3.51858377202,3.51858377202
204.225352113,3.64424747816,3.64424747816,3.64424747816
211.267605634,3.76991118431,3.76991118431,3.76991118431
218.309859155,3.89557489045,3.89557489045,3.89557489045
225.352112676,4.02123859659,4.02123859659,4.02123859659
232.394366197,4.14690230274,4.14690230274,4.14690230274
239.436619718,4.27256600888,4.27256600888,4.27256600888
246.478873239,4.39822971503,4.39822971503,4.39822971503
253.521126761,4.52389342117,4.52389342117,4.52389342117
260.563380282,4.64955712731,4.64955712731,4.64955712731
267.605633803,4.77522083346,4.77522083346,4.77522083346
274.647887324,4.9008845396,4.9008845396,4.9008845396
281.690140845,5.02654824574,5.02654824574,5.02654824574
288.732394366,5.15221195189,5.15221195189,5.15221195189
295.774647887,5.27787565803,5.27787565803,5.27787565803
302.816901408,5.40353936417,5.40353936417,5.40353936417
309.85915493,5.52920307032,5.52920307032,5.52920307032
316.901408451,5.65486677646,5.65486677646,5.65486677646
323.943661972,5.78053048261,5.78053048261,5.78053048261
330.985915493,5.90619418875,5.90619418875,5.90619418875
338.028169014,6.03185789489,6.03185789489,6.03185789489
345.070422535,6.15752160104,6.15752160104,6.15752160104
352.112676056,6.28318530718,6.28318530718,6.28318530718
