family_key,family_label,blocks,n_active,order_label,order_pretty,levels,screen_fidelity,screen_duration_ns,screen_gate_depth,replay_n12_fidelity,replay_n12_leakage,replay_n12_unitarity_error
drcpsqr,D + R + CPSQR,4,3,RCPD,R > CPSQR > D,0-1-2,0.7574478797009856,1203.0,13,0.759215992507276,0.16822920091421012,7.365357823315105e-15
drcpsqr,D + R + CPSQR,5,4,RCPD,R > CPSQR > D,0-1-2-3,0.7608934898747046,1492.0,16,0.7579152602174534,0.14279286818265158,3.699336117527818e-14
drcpsqr,D + R + CPSQR,4,1,RDCP,R > D > CPSQR,0,0.7504241437128989,1224.0,13,0.7531780860511933,0.3910508070954789,5.519104421564643e-15
drcpsqr,D + R + CPSQR,4,2,RCPD,R > CPSQR > D,0-1,0.7524881062842328,1192.0,13,0.7520240414455627,0.2840294072479771,8.604005054337857e-15
drcpsqr,D + R + CPSQR,5,2,CPDR,CPSQR > D > R,0-1,0.751929473997828,1465.0,16,0.7518875623333668,0.2993203128991815,2.1716644384149774e-14
drcpsqr,D + R + CPSQR,4,2,DCPR,D > CPSQR > R,0-1,0.7528068166714409,1162.0,13,0.7516812359101587,0.2438087933582156,3.94448708338402e-15
drcpsqr,D + R + CPSQR,5,2,DCPR,D > CPSQR > R,0-1,0.7491348093859632,1487.0,16,0.7501936486149667,0.1435257181791164,8.23257897327572e-15
drcpsqr,D + R + CPSQR,5,2,CPRD,CPSQR > R > D,0-1,0.7477607539611291,1479.0,16,0.7471191256298964,0.28221117911811233,3.8090624643443504e-14
drcpsqr,D + R + CPSQR,5,3,RCPD,R > CPSQR > D,0-1-2,0.7429742615552776,1492.0,16,0.7406296001194664,0.16655299651950228,2.3173479504191775e-14
drcpsqr,D + R + CPSQR,3,2,DRCP,D > R > CPSQR,0-1,0.7387968710503297,896.0,10,0.7354445830375276,0.4744150826086633,4.7762829569360554e-15
drcpsqr,D + R + CPSQR,4,2,CPDR,CPSQR > D > R,0-1,0.7344665677677675,1156.0,13,0.734384148638465,0.4042801642467925,3.8992489829693835e-15
drcpsqr,D + R + CPSQR,5,1,DCPR,D > CPSQR > R,0,0.7294585361329802,1460.0,16,0.7302231685220003,0.1482221152467451,3.9719322321679904e-14
drcpsqr,D + R + CPSQR,4,2,CPRD,CPSQR > R > D,0-1,0.7086862754206239,1221.0,13,0.7087067580537726,0.3219060786378882,1.4972947044502503e-14
drsqr,D + R + SQR,4,4,DSR,D > SQR > R,0-1-2-3,0.7052289738430368,4960.0,13,0.7043671357792578,0.026033212715699805,4.983671537934311e-15
drcpsqr,D + R + CPSQR,4,4,DRCP,D > R > CPSQR,0-1-2-3,0.7300060371757194,1165.0,13,0.7031838691839545,0.2871668364885649,4.254030472521487e-15
drsqr,D + R + SQR,4,4,RDS,R > D > SQR,0-1-2-3,0.7009045729619906,4960.0,13,0.7006096091478518,0.043898032058016234,9.014569162047183e-15
drcpsqr,D + R + CPSQR,3,4,CPRD,CPSQR > R > D,0-1-2-3,0.7005370835844267,930.0,10,0.7003669383471924,0.008937416810203547,1.1076520047976929e-14
