order_label,order_pretty,optimized_fidelity,physical_fidelity_n12,leakage_worst_n12,total_duration_ns,elapsed_s
RDS,R > D > SQR,0.9983891022508333,0.9983891022508333,0.004862120839892015,6180.0,73.05791319999844
DSR,D > SQR > R,0.9980639439911632,0.9980639439911636,0.005365690668616918,6180.0,92.04516880000301
SDR,SQR > D > R,0.9971942753758225,0.9971942753758226,0.005415831347401756,6180.0,61.9978809000022
SRD,SQR > R > D,0.9957798177342156,0.9957798177342152,0.011081565444424735,6180.0,59.107687499999884
RSD,R > SQR > D,0.9932288018544677,0.993228801854468,0.013358529135513608,6180.0,60.25577259999409
DRS,D > R > SQR,0.9925607178898113,0.9925607178898115,0.02502436211364356,6180.0,86.7478909999918
