n,detuning_MHz,probe_duration_ns,probe_amplitude_MHz,storage_target_probability,storage_total_f_probability,dump_witness_target_probability,dump_witness_readout_n
1,-10.0,400.0,0.3,1.1159177255112327e-06,1.1159177255112327e-06,1.1079344557558913e-06,1.107934455755891e-06
1,-9.5,400.0,0.3,0.0012992742511163506,0.0012992742511163506,0.0012939460781589273,0.001293946078158927
1,-9.0,400.0,0.3,0.00393970489925008,0.00393970489925008,0.003923561358862754,0.003923561358862754
1,-8.5,400.0,0.3,0.0045377493393749775,0.0045377493393749775,0.0045191606470983345,0.004519160647098334
1,-8.0,400.0,0.3,0.0020489960353910347,0.0020489960353910347,0.0020405992947993418,0.0020405992947993418
1,-7.5,400.0,0.3,4.492972298747176e-06,4.492972298747176e-06,4.468286521609214e-06,4.468286521609214e-06
1,-7.0,400.0,0.3,0.0023179218653860715,0.0023179218653860715,0.0023084191902716118,0.0023084191902716118
1,-6.5,400.0,0.3,0.0074497265392821236,0.007449726539282123,0.007419215065528458,0.0074192150655284575
1,-6.0,400.0,0.3,0.00910053756612536,0.009100537566125359,0.009063269460875574,0.009063269460875574
1,-5.5,400.0,0.3,0.004482089010598478,0.004482089010598478,0.0044637352253318425,0.0044637352253318425
1,-5.0,400.0,0.3,2.4651975127235047e-05,2.4651975127235047e-05,2.4550250906069105e-05,2.45502509060691e-05
1,-4.5,400.0,0.3,0.005243408725478951,0.00524340872547895,0.005221928781212662,0.005221928781212663
1,-4.0,400.0,0.3,0.019071761421425058,0.019071761421425058,0.01899367833659912,0.018993678336599117
1,-3.5,400.0,0.3,0.02663405839003035,0.026634058390030354,0.02652504933255914,0.026525049332559142
1,-3.0,400.0,0.3,0.015905231407957476,0.015905231407957472,0.015840107965430204,0.015840107965430204
1,-2.5,400.0,0.3,0.0004088515565970617,0.00040885155659706174,0.0004071718928978823,0.0004071718928978824
1,-2.0,400.0,0.3,0.020311338463552833,0.02031133846355283,0.020228191984103628,0.020228191984103625
1,-1.5,400.0,0.3,0.11079992036575101,0.110799920365751,0.11034672648489055,0.11034672648489054
