n_tr,n_storage,n_readout,dt_ns,storage_sideband_lab_GHz,success_probability,final_mean_storage_n,final_readout_n,final_transmon_excited_population,label,delta_frequency_kHz,delta_success_probability,delta_final_mean_storage_n,delta_final_readout_n,delta_final_transmon_excited_population
4,7,3,0.25,6.7870725084416375,0.9620198123172237,2.9920590544321595,0.01761130399336569,0.004978918964963626,baseline,0.0,0.0,0.0,0.0,0.0
5,7,3,0.25,6.7870725084416375,0.9620225985882033,2.9920556132697578,0.017611356451701754,0.004979446223574141,transmon_5,0.0,2.7862709796044882e-06,-3.4411624016961184e-06,5.245833606393191e-08,5.272586105151134e-07
4,6,3,0.25,6.7870725084416375,0.9620241644622799,2.9920583949558957,0.017611384825206983,0.00497508579771805,storage_6,0.0,4.35214505623005e-06,-6.594762638201246e-07,8.083184129328846e-08,-3.833167245575857e-06
4,8,3,0.25,6.7870725084416375,0.9620204743461591,2.992056742862533,0.01761131657816637,0.004980519669462111,storage_8,0.0,6.620289354497544e-07,-2.3115696263786845e-06,1.2584800680726094e-08,1.6007044984847618e-06
4,7,2,0.25,6.7870725084416375,0.9620240279246418,2.9920647639522957,0.01761138197677062,0.004968936799178813,readout_2,0.0,4.215607418145417e-06,5.709520136232271e-06,7.798340493150868e-08,-9.982165784813354e-06
4,7,4,0.25,6.7870725084416375,0.9620660872577663,2.992054848026553,0.017612154071848806,0.0049353953809030005,readout_4,0.0,4.627494054265657e-05,-4.20640560649943e-06,8.500784831159958e-07,-4.352358406062556e-05
4,7,3,0.125,6.7870725084416375,0.9621120054559682,2.9919726347002604,0.01761299807776088,0.004969326095449987,dt_0p125,0.0,9.219313874453405e-05,-8.641973189904562e-05,1.6940843951887552e-06,-9.592869513639149e-06
4,7,3,0.5,6.7870725084416375,0.9616803799346786,2.992227773986373,0.017605376631069706,0.005161631703178498,dt_0p5,0.0,-0.00033943238254507957,0.00016871955421349227,-5.927362295984201e-06,0.00018271273821487185
