n,detuning_MHz,probe_duration_ns,probe_amplitude_MHz,dump_target_probability,readout_n,final_f_probability
1,-10.0,400.0,0.3,1.0756498757871995e-06,1.0756498757871995e-06,0.9999989243501243
1,-9.5,400.0,0.3,0.0013033216736010951,0.001303321673601095,0.9986966783263989
1,-9.0,400.0,0.3,0.00395057296642228,0.00395057296642228,0.9960494270335777
1,-8.5,400.0,0.3,0.004549257801074658,0.004549257801074659,0.9954507421989253
1,-8.0,400.0,0.3,0.0020616332983282274,0.0020616332983282274,0.997938366701672
1,-7.5,400.0,0.3,4.316405412296769e-06,4.316405412296769e-06,0.9999956835945877
1,-7.0,400.0,0.3,0.0023250820848150283,0.0023250820848150287,0.9976749179151848
1,-6.5,400.0,0.3,0.007481967558572646,0.007481967558572647,0.9925180324414276
1,-6.0,400.0,0.3,0.009146259464910522,0.00914625946491052,0.9908537405350897
1,-5.5,400.0,0.3,0.004492383766924383,0.004492383766924384,0.9955076162330754
1,-5.0,400.0,0.3,2.532996492549161e-05,2.5329964925491615e-05,0.9999746700350743
1,-4.5,400.0,0.3,0.005258602832272275,0.005258602832272275,0.9947413971677275
1,-4.0,400.0,0.3,0.019151136185274985,0.019151136185274982,0.9808488638147248
1,-3.5,400.0,0.3,0.026763868101988764,0.026763868101988768,0.9732361318980111
1,-3.0,400.0,0.3,0.015998714543355566,0.015998714543355566,0.9840012854566441
1,-2.5,400.0,0.3,0.00041659670701013824,0.0004165967070101382,0.9995834032929901
1,-2.0,400.0,0.3,0.02030765827014131,0.020307658270141315,0.9796923417298586
1,-1.5,400.0,0.3,0.11089106284334023,0.11089106284334022,0.8891089371566601
1,-1.0,400.0,0.3,0.26162169327062246,0.2616216932706225,0.7383783067293773
1,-0.5,400.0,0.3,0.40733975927786625,0.40733975927786625,0.5926602407221336
1,0.0,400.0,0.3,0.4678717850531063,0.4678717850531062,0.532128214946894
1,0.5,400.0,0.3,0.40719400364370306,0.40719400364370306,0.592805996356297
1,1.0,400.0,0.3,0.2614252056096267,0.2614252056096267,0.7385747943903733
1,1.5,400.0,0.3,0.11075125078348237,0.11075125078348239,0.8892487492165176
1,2.0,400.0,0.3,0.02026119127208083,0.020261191272080835,0.9797388087279192
1,2.5,400.0,0.3,0.0004196678776307897,0.00041966787763078963,0.9995803321223692
1,3.0,400.0,0.3,0.015992076403027303,0.015992076403027303,0.9840079235969723
1,3.5,400.0,0.3,0.026730230831029492,0.026730230831029492,0.9732697691689705
1,4.0,400.0,0.3,0.019114808050430535,0.01911480805043054,0.9808851919495694
1,4.5,400.0,0.3,0.005243304556286276,0.005243304556286275,0.9947566954437138
1,5.0,400.0,0.3,2.5732244922290836e-05,2.573224492229084e-05,0.9999742677550781
1,5.5,400.0,0.3,0.004487173411530377,0.004487173411530378,0.9955128265884695
1,6.0,400.0,0.3,0.009127327409881729,0.009127327409881729,0.9908726725901184
1,6.5,400.0,0.3,0.007461602278620277,0.007461602278620277,0.9925383977213795
1,7.0,400.0,0.3,0.0023164933661633446,0.0023164933661633446,0.9976835066338369
1,7.5,400.0,0.3,4.425888809756016e-06,4.425888809756016e-06,0.9999955741111906
1,8.0,400.0,0.3,0.002057404840316185,0.002057404840316185,0.997942595159684
1,8.5,400.0,0.3,0.0045358041708444905,0.0045358041708444905,0.9954641958291558
1,9.0,400.0,0.3,0.003936432496219642,0.003936432496219643,0.9960635675037802
1,9.5,400.0,0.3,0.001297497156860782,0.001297497156860782,0.998702502843139
1,10.0,400.0,0.3,1.1133153393536166e-06,1.1133153393536166e-06,0.9999988866846605
2,-10.0,400.0,0.3,1.0755266835941936e-06,1.0755266835941934e-06,0.9999989244733167
2,-9.5,400.0,0.3,0.0013032123396273328,0.0013032123396273325,0.9986967876603726
2,-9.0,400.0,0.3,0.003950233277692681,0.003950233277692682,0.9960497667223072
2,-8.5,400.0,0.3,0.004548864232640271,0.004548864232640271,0.9954511357673597
2,-8.0,400.0,0.3,0.002061489089126386,0.002061489089126386,0.9979385109108734
2,-7.5,400.0,0.3,4.31756485135776e-06,4.31756485135776e-06,0.9999956824351484
2,-7.0,400.0,0.3,0.0023248533386115507,0.0023248533386115507,0.9976751466613886
2,-6.5,400.0,0.3,0.007481271183064118,0.007481271183064118,0.9925187288169358
2,-6.0,400.0,0.3,0.009145462373674907,0.009145462373674907,0.9908545376263249
