candidate_label,role,symbolic_process_fidelity,symbolic_avg_probe_fidelity,symbolic_leakage,runtime_candidate,runtime_process_fidelity,runtime_avg_probe_fidelity,runtime_leakage,runtime_noisy_avg_probe_fidelity,runtime_max_transient_photon,runtime_wigner_target_overlap,entangling_gate_count,entangling_time_ns,symbolic_total_duration_ns,runtime_total_duration_ns,implementation_complexity,truncation_process_span,truncation_probe_span,truncation_leakage_span,truncation_wigner_span
N1_exact_hc_to_exact_hc,one_wait_exact_baseline,0.24999991232341745,0.2500000231746889,6.106226635438361e-16,R1_exact_runtime_to_exact_runtime,0.2234012222217367,0.21196958700072135,0.028603065070561134,0.048006241284792785,1.0324507046781708,0.512031115478368,1,176.00000000000003,376.0,2856.000000000001,7.35,2.5348354514564964e-06,1.298742486804949e-06,6.797662630415174e-06,3.444406460828553e-06
N2_exact_hc_to_exact_hc,two_wait_symbolic_upper_bound,0.9999997543589052,0.9999996537629002,7.956598343146956e-16,R2_exact_runtime_to_exact_runtime,0.9026929270622418,0.8349526191490545,0.04317691162402235,0.6144833666744246,1.0316706244035805,0.9638353440757689,2,352.00000000000006,712.0,4432.000000000001,7.6,7.670498428091754e-06,9.797940682676476e-06,1.1982308799160513e-05,7.873714139683408e-06
N2_A_local_to_A_local,two_wait_archive_symbolic_candidate,0.9856807733632683,0.9691824058441026,0.020478399960793925,R2_A_runtime_to_A_runtime,0.9015409083663316,0.8121948942556153,0.047254869788012056,0.5804169492873673,1.0,0.9814172155341938,2,352.00000000000006,4372.0,4432.000000000001,9.35,2.794971957320591e-05,6.838621947868884e-05,6.887631021000595e-05,0.00016906075688472022
N2_B_local_to_B_local,two_wait_replayable_archive_reference,0.634497797582854,0.5128744997309312,0.18710076589835664,R2_B_local_replay,0.16665042877903272,0.18728995560553882,0.14323596035167432,0.04884525575287874,1.6520128414664224,0.2597422620343216,8,6952.0,7912.0,7912.0,52.5,1.3048950654737101e-06,2.2512090040727184e-06,6.463314894761263e-06,3.3014750339677157e-06
