candidate_label,n_cav,process_fidelity,average_probe_fidelity,average_probe_leakage,max_transient_photon,wigner_target_overlap,process_fidelity_span,probe_fidelity_span,leakage_span,wigner_overlap_span
R1_exact_runtime_to_exact_runtime,10,0.22339993341676728,0.21196952110260145,0.02859915526821233,1.032281940130948,0.5120276710719072,2.5348354514564964e-06,1.298742486804949e-06,6.797662630415174e-06,3.444406460828553e-06
R1_exact_runtime_to_exact_runtime,12,0.2234012222217367,0.21196958700072135,0.028603065070561134,1.0324507046781708,0.512031115478368,2.5348354514564964e-06,1.298742486804949e-06,6.797662630415174e-06,3.444406460828553e-06
R1_exact_runtime_to_exact_runtime,14,0.22339868738628524,0.21196828825823455,0.028605952930842744,1.0324291773383096,0.5120296870981487,2.5348354514564964e-06,1.298742486804949e-06,6.797662630415174e-06,3.444406460828553e-06
R2_exact_runtime_to_exact_runtime,10,0.9026872840345332,0.8349480674667958,0.04318474262182426,1.031363020509032,0.9638317895065731,7.670498428091754e-06,9.797940682676476e-06,1.1982308799160513e-05,7.873714139683408e-06
R2_exact_runtime_to_exact_runtime,12,0.9026929270622418,0.8349526191490545,0.04317691162402235,1.0316706244035805,0.9638353440757689,7.670498428091754e-06,9.797940682676476e-06,1.1982308799160513e-05,7.873714139683408e-06
R2_exact_runtime_to_exact_runtime,14,0.9026852565638137,0.8349428212083718,0.043188893932821514,1.0316901290934533,0.9638396632207128,7.670498428091754e-06,9.797940682676476e-06,1.1982308799160513e-05,7.873714139683408e-06
R2_A_runtime_to_A_runtime,10,0.9015363750202007,0.8122331890683364,0.04720507009146339,1.0000000000000002,0.9812481970423719,2.794971957320591e-05,6.838621947868884e-05,6.887631021000595e-05,0.00016906075688472022
R2_A_runtime_to_A_runtime,12,0.9015409083663316,0.8121948942556153,0.047254869788012056,1.0,0.9814172155341938,2.794971957320591e-05,6.838621947868884e-05,6.887631021000595e-05,0.00016906075688472022
R2_A_runtime_to_A_runtime,14,0.9015129586467584,0.8121648028488577,0.04727394640167339,1.0000000000000002,0.9814172577992566,2.794971957320591e-05,6.838621947868884e-05,6.887631021000595e-05,0.00016906075688472022
R2_B_local_replay,10,0.1666517336740982,0.18729179603112797,0.14323076520356565,1.6520132171143687,0.25974331866930134,1.3048950654737101e-06,2.2512090040727184e-06,6.463314894761263e-06,3.3014750339677157e-06
R2_B_local_replay,12,0.16665042877903272,0.18728995560553882,0.14323596035167432,1.6520128414664224,0.2597422620343216,1.3048950654737101e-06,2.2512090040727184e-06,6.463314894761263e-06,3.3014750339677157e-06
R2_B_local_replay,14,0.16665063567146046,0.1872895448221239,0.1432372285184604,1.6520126955478704,0.25974001719426737,1.3048950654737101e-06,2.2512090040727184e-06,6.463314894761263e-06,3.3014750339677157e-06
