average_gate_fidelity,case_id,chi_t_over_2pi,crosstalk_diagonal_mean,crosstalk_diagonal_min,crosstalk_offdiag_max,crosstalk_offdiag_mean,family,frobenius_error,include_chi_prime,leakage_loss,leakage_outside_target_max,leakage_outside_target_mean,logical_levels,max_residual_z_error_rad,max_transverse_error_rad,mean_residual_z_error_rad,mean_transverse_error_rad,min_transition_spacing_hz,model_variant,n_active,n_cav,n_tr,notable_failure_mode,operator_norm_error,optimized_parameter_count,other_target_population_max,other_target_population_mean,parameter_count,per_block_average_gate_fidelities,per_block_process_fidelities,per_block_residual_z_errors_rad,per_block_rotation_angle_errors_rad,per_block_rotation_axis_errors_rad,per_block_transverse_errors_rad,preservation_loss,pulse_duration_ns,pulse_duration_s,qubit_loss,random_seed,restricted_process_fidelity,restricted_unitarity_error,runtime_s,same_block_population_mean,same_block_population_min,state_transfer_fidelity_mean,state_transfer_fidelity_min,state_validation_ground_fidelity,state_validation_plus_fidelity,subspace_loss,success_tier,transition_frequencies_hz,weighted_loss,sequence_family,comparison_group,active_sqr_duration_ns,total_gate_duration_ns,half_sqr_duration_ns,pi_pulse_duration_ns,half_waveforms_identical,second_half_transform,x_pi_pulse_type,x_pi_axis,x_pi_phase_rad,timing_mode,worst_block_average_gate_fidelity,max_rotation_angle_error_rad,max_rotation_axis_error_rad,target_operator_rule,baseline_artifact,restricted_fro_error,optimizer_success,optimizer_runtime_s
0.8736214114323456,chi_only_na2_chiT1p0_familyC,1.0,5.775537101424618e-08,5.149074748627661e-08,6.314713600865483e-08,5.781510462183722e-08,C,0.40621648949406125,False,0.0,0.0,0.0,"[0, 1]",0.0930861518484988,1.0045504823358902,0.07157059588776578,0.7846572089429207,2840000.0000000005,chi_only,2,4.0,2.0,insufficient waveform degrees of freedom,0.5311317642731871,6.0,0.0,0.0,7.0,"[0.9468711176028449, 0.8451388034781795]","[0.9203066764042672, 0.7677082052172693]","[0.0930861518484988, 0.05005503992703275]","[0.5713741417222613, 0.9417109236163221]","[1.149433683627333, 1.4445711986453051]","[0.5647639355499513, 1.0045504823358902]",0.0,352.112676056338,3.52112676056338e-07,0.1546516022486198,,0.8420267642904321,8.14308705792802e-07,2.836195600000792,1.0000006464186249,1.0000006346844645,0.8630193306326766,0.7682834591953132,0.841050038013336,0.8950591222483245,0.1579732357095679,failure,"[0.0, -2840000.0000000005]",0.18117097604686086,single_pulse,chi_only_na2_chiT1p0_familyC,352.112676056338,352.112676056338,352.112676056338,0.0,True,not_applicable,none,none,,single,0.8451388034781795,0.9417109236163221,1.4445711986453051,direct single-pulse target,artifacts\cases\chi_only_na2_chiT1p0_familyC.json,,,
0.21391743506391458,chi_only_na2_chiT1p0_familyC,1.0,,,,,C,,False,,3.3306690738754696e-16,1.6653345369377348e-16,,0.115901299903495,1.6014971262727606,0.10383420288054879,1.09168314513078,,chi_only,2,,,,,,0.0,0.0,,"[0.9438209018383241, 0.6550392774571775]","[0.9157313527574862, 0.4825589161857662]","[0.09176710585760259, 0.115901299903495]","[0.55689676857497, 0.34520402624360635]","[2.981811081502062, 2.548709929807667]","[0.5818691639887993, 1.6014971262727606]",,352.112676056338,,,,0.01739679382989324,3.0296958461098804e-06,,0.9999999999999998,0.9999999999999997,0.39676664107334425,0.017091992947433517,0.01709217500759857,0.018523123954687352,,,,1.0273759133610472,echoed_fixed_total,chi_only_na2_chiT1p0_familyC,272.112676056338,352.112676056338,136.056338028169,40.0,True,identical_repeat,finite_gaussian,x,0.0,fixed_total_duration,0.6550392774571775,0.55689676857497,2.981811081502062,"half_target W_n = X_pi^dagger sqrt(R_n), repeated identically in both halves",,1.504224616268832,True,0.0
0.28491306375267555,chi_only_na2_chiT1p0_familyC,1.0,,,,,C,,False,,3.3306690738754696e-16,2.7755575615628914e-16,,0.09142576799601149,1.6073625741932043,0.06616180512403105,1.0928998787514392,,chi_only,2,,,,,,0.0,0.0,,"[0.9444569199663754, 0.6543073446524308]","[0.9166853799495632, 0.48146101697864624]","[0.09142576799601149, 0.040897842252050634]","[0.5603168689610574, 0.3796213350667813]","[2.952044149290179, 2.7138148646849487]","[0.578437183309674, 1.6073625741932043]",,352.112676056338,,,,0.10614132969084446,5.928432620366346e-06,,0.9999999999999998,0.9999999999999997,0.4406664976134544,0.09042941892723076,0.11110234285257489,0.15098104455353428,,,,0.938820153009388,echoed_fixed_active,chi_only_na2_chiT1p0_familyC,352.112676056338,432.11267605633793,176.056338028169,40.0,True,identical_repeat,finite_gaussian,x,0.0,fixed_active_sqr_duration,0.6543073446524308,0.5603168689610574,2.952044149290179,"half_target W_n = X_pi^dagger sqrt(R_n), repeated identically in both halves",,1.564930009343332,True,0.0
0.3593943846077737,chi_only_na2_chiT1p0_familyD_seed316159,1.0,3.721318613027131e-07,2.7110490770090886e-07,4.762432306870815e-07,3.7293576874132636e-07,D,1.0523045768583026,False,0.0,0.0,0.0,"[0, 1]",1.6674567237407993,1.8478722603536288,1.5759789935057413,1.5350864503206756,2840000.0000000005,chi_only,2,4.0,2.0,insufficient waveform degrees of freedom,1.193731937985403,6.0,0.0,0.0,7.0,"[0.5516930389963909, 0.40183302924366915]","[0.3275395584945864, 0.10274954386550372]","[1.4845012632706835, 1.6674567237407993]","[1.9124108283851315, 2.2951970147308964]","[0.6654978545369793, 2.285464578315222]","[1.2223006402877223, 1.8478722603536288]",0.0,352.112676056338,3.52112676056338e-07,0.38312562488429147,316159.0,0.19924298075971708,8.833260015605951e-06,4.6705436000011105,1.0000085618806818,1.0000084890251912,0.45595241428975175,0.18954910636664873,0.2091783879343388,0.20371339877959224,0.8007570192402829,failure,"[0.0, -2840000.0000000005]",0.8582258629729266,single_pulse,chi_only_na2_chiT1p0_familyD_seed316159,352.112676056338,352.112676056338,352.112676056338,0.0,True,not_applicable,none,none,,single,0.40183302924366915,2.2951970147308964,2.285464578315222,direct single-pulse target,artifacts\cases\chi_only_na2_chiT1p0_familyD_seed316159.json,,,
0.22497790869033177,chi_only_na2_chiT1p0_familyD_seed316159,1.0,,,,,D,,False,,5.551115123125783e-16,3.0531133177191805e-16,,2.195129728977957,1.6177677125934715,1.8577740594759224,1.42339013394753,,chi_only,2,,,,,,0.0,0.0,,"[0.5417169383005542, 0.3615919381613268]","[0.31257540745083134, 0.04238790724199019]","[1.5204183899738877, 2.195129728977957]","[1.9482677770340215, 1.7464450351753598]","[1.0759229564201063, 2.0160000874695188]","[1.2290125553015885, 1.6177677125934715]",,352.112676056338,,,316159.0,0.031222385862914703,1.3672891780222756e-06,,0.9999999999999998,0.9999999999999994,0.40147723078812514,0.031150234637300423,0.5341837837299104,0.16048630759715554,,,,1.014431236708618,echoed_fixed_total,chi_only_na2_chiT1p0_familyD_seed316159,272.112676056338,352.112676056338,136.056338028169,40.0,True,identical_repeat,finite_gaussian,x,0.0,fixed_total_duration,0.3615919381613268,1.9482677770340215,2.0160000874695188,"half_target W_n = X_pi^dagger sqrt(R_n), repeated identically in both halves",,1.5340550914547382,True,0.0
0.23961651800548264,chi_only_na2_chiT1p0_familyD_seed316159,1.0,,,,,D,,False,,2.220446049250313e-16,1.1102230246251565e-16,,2.073873858904576,1.8532946095612648,1.7978777934717556,1.5397877318601556,,chi_only,2,,,,,,0.0,0.0,,"[0.541895224474405, 0.3547349298308082]","[0.3128428367116075, 0.032102394746212244]","[1.521881728038935, 2.073873858904576]","[1.9490928718485567, 1.8045470328129247]","[0.982231258371786, 2.1866118634411777]","[1.2262808541590462, 1.8532946095612648]",,352.112676056338,,,316159.0,0.04952064750685333,3.4259186517646947e-06,,1.0,0.9999999999999998,0.39346042167217465,0.014477755585132764,0.2827383809518735,0.2681089016478995,,,,1.0029994363526695,echoed_fixed_active,chi_only_na2_chiT1p0_familyD_seed316159,352.112676056338,432.11267605633793,176.056338028169,40.0,True,identical_repeat,finite_gaussian,x,0.0,fixed_active_sqr_duration,0.3547349298308082,1.9490928718485567,2.1866118634411777,"half_target W_n = X_pi^dagger sqrt(R_n), repeated identically in both halves",,1.5582161623610888,True,0.0
0.20909581015058226,chi_only_na2_chiT1p0_familyD_seed316160,1.0,1.1965004127506568e-06,8.502358266647327e-07,1.5319854996717062e-06,1.1948580019720542e-06,D,1.4877054955763465,False,0.0,0.0,0.0,"[0, 1]",2.4951862660377158,2.6196022803614714,1.6339429243529426,2.248506320235464,2840000.0000000005,chi_only,2,4.0,2.0,insufficient waveform degrees of freedom,1.5516260771973225,6.0,0.0,0.0,7.0,"[0.36101396011517833, 0.3333934589458818]","[0.041520940172767536, 9.018841882271845e-05]","[0.7726995826681694, 2.4951862660377158]","[2.523314572514738, 2.7520454246468264]","[1.8426201085000424, 2.490220956866925]","[2.6196022803614714, 1.8774103601094563]",0.0,352.112676056338,3.52112676056338e-07,0.6216047740187141,316160.0,0.011369762688227824,9.797837452048417e-06,5.208716400000412,1.0000097171804407,1.000009633800162,0.27258567754545937,0.00424656990974127,0.07670326272561505,0.12852040105089327,0.9886302373117721,failure,"[0.0, -2840000.0000000005]",1.0818709534145792,single_pulse,chi_only_na2_chiT1p0_familyD_seed316160,352.112676056338,352.112676056338,352.112676056338,0.0,True,not_applicable,none,none,,single,0.3333934589458818,2.7520454246468264,2.490220956866925,direct single-pulse target,artifacts\cases\chi_only_na2_chiT1p0_familyD_seed316160.json,,,
0.20772061718995474,chi_only_na2_chiT1p0_familyD_seed316160,1.0,,,,,D,,False,,1.1102230246251565e-16,8.326672684688674e-17,,1.7646607109288353,2.5918207371825264,1.2340973525893952,2.5595843377452745,,chi_only,2,,,,,,0.0,0.0,,"[0.3673905858827538, 0.33391608459695]","[0.05108587882413072, 0.0008741268954249776]","[0.7035339942499552, 1.7646607109288353]","[2.6760400194999416, 2.308954248683448]","[1.5207618011116288, 1.900024940166412]","[2.5918207371825264, 2.527347938308022]",,352.112676056338,,,316160.0,0.009650771487443416,1.7519687578803247e-06,,1.0,0.9999999999999999,0.2131753789431727,0.0038507640941258196,0.1831367187618782,0.17281333955008607,,,,1.1070092263226214,echoed_fixed_total,chi_only_na2_chiT1p0_familyD_seed316160,272.112676056338,352.112676056338,136.056338028169,40.0,True,identical_repeat,finite_gaussian,x,0.0,fixed_total_duration,0.33391608459695,2.6760400194999416,1.900024940166412,"half_target W_n = X_pi^dagger sqrt(R_n), repeated identically in both halves",,1.3429542044900509,True,0.0
0.21784770398815007,chi_only_na2_chiT1p0_familyD_seed316160,1.0,,,,,D,,False,,3.3306690738754696e-16,1.942890293094024e-16,,1.7077087723891538,2.597397812751968,1.2053832645025484,2.504212417013054,,chi_only,2,,,,,,0.0,0.0,,"[0.3666229123375029, 0.33914765325165797]","[0.04993436850625428, 0.008721479877486997]","[0.7030577566159429, 1.7077087723891538]","[2.6739099930406596, 2.355789749550411]","[1.9711382440670142, 1.5173858208731494]","[2.597397812751968, 2.411027021274141]",,352.112676056338,,,316160.0,0.022309629985187616,1.0811259957448758e-06,,0.9999999999999998,0.9999999999999997,0.2214065179050962,0.012591662898320685,0.21066992346043292,0.24346438570547113,,,,1.0935896988795286,echoed_fixed_active,chi_only_na2_chiT1p0_familyD_seed316160,352.112676056338,432.11267605633793,176.056338028169,40.0,True,identical_repeat,finite_gaussian,x,0.0,fixed_active_sqr_duration,0.33914765325165797,2.6739099930406596,1.9711382440670142,"half_target W_n = X_pi^dagger sqrt(R_n), repeated identically in both halves",,1.3069468803670248,True,0.0
0.5012933234231605,chi_only_na2_chiT1p0_familyD_seed316161,1.0,5.250196005334386e-10,4.0309138782731255e-11,9.898630374761647e-10,5.135509919540604e-10,D,1.796445158280902,False,0.0,0.0,0.0,"[0, 1]",1.1181296358456085,1.7392786924730563,0.6113277468413064,1.6347029096027996,2840000.0000000005,chi_only,2,4.0,2.0,insufficient waveform degrees of freedom,1.8132305737184755,6.0,0.0,0.0,7.0,"[0.6097403013963992, 0.5604421592523788]","[0.41461045209459874, 0.3406632388785682]","[0.10452585783700435, 1.1181296358456085]","[1.7422754686539175, 1.785378028155215]","[2.647803110449395, 2.1806459512834766]","[1.7392786924730563, 1.5301271267325427]",0.0,352.112676056338,3.52112676056338e-07,0.5065512665977498,316161.0,0.3766166542789505,2.4032355574640856e-07,2.237129500001174,1.0000000714375794,1.0000000511915264,0.4983516454061039,0.4167170829619118,0.450394394039892,0.4977575373335177,0.6233833457210495,failure,"[0.0, -2840000.0000000005]",0.699366035710712,single_pulse,chi_only_na2_chiT1p0_familyD_seed316161,352.112676056338,352.112676056338,352.112676056338,0.0,True,not_applicable,none,none,,single,0.5604421592523788,1.785378028155215,2.647803110449395,direct single-pulse target,artifacts\cases\chi_only_na2_chiT1p0_familyD_seed316161.json,,,
