study,case_id,construction,artifact_path,target_family,n_active,n,eps_x,eps_y,eps_z,eps_norm,target_theta_rad,actual_theta_rad,strict_process_fidelity
native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_random_x_na4_chiT3p0_seed4101,gaussian_seed,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_plus_chiprime_random_x_na4_chiT3p0_seed4101_gaussian_seed.json,random_x,4,2,-0.027269537445328174,0.315938014926296,0.2817919510723976,0.42422536538641703,0.8555007428448266,0.9241805610586047,0.8813207968517472
native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_random_x_na4_chiT3p0_seed4101,gaussian_seed,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_plus_chiprime_random_x_na4_chiT3p0_seed4101_gaussian_seed.json,random_x,4,3,0.018216662185377056,0.9390405653641246,-0.5408353672948177,1.083804375658943,2.1542238687804267,2.3221638517696146,0.8813207968517472
native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_random_x_na4_chiT1p0_seed4102,echoed_asymmetric,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_plus_chiprime_random_x_na4_chiT1p0_seed4102_echoed_asymmetric.json,random_x,4,0,0.2810554759992435,-0.49497641637557604,2.071780281543589,2.1485500618673052,1.4700145119081123,2.58180233957048,0.0229618507594056
native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_random_x_na4_chiT1p0_seed4102,echoed_asymmetric,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_plus_chiprime_random_x_na4_chiT1p0_seed4102_echoed_asymmetric.json,random_x,4,1,1.9046955499365894,0.05315560417614214,-2.800006799549634,3.3868464290144247,1.8424757856909526,4.231719393272515,0.0229618507594056
native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_random_x_na4_chiT1p0_seed4102,echoed_asymmetric,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_plus_chiprime_random_x_na4_chiT1p0_seed4102_echoed_asymmetric.json,random_x,4,2,-0.6339252812388,-0.46440162386617206,1.9602892058649675,2.1119336876601817,1.322811816865673,1.9791941767465397,0.0229618507594056
native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_random_x_na4_chiT1p0_seed4102,echoed_asymmetric,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_plus_chiprime_random_x_na4_chiT1p0_seed4102_echoed_asymmetric.json,random_x,4,3,-1.4485851439809867,-2.706168023018038,1.9180168161770352,3.6194658162919104,2.0814236244759887,2.706519841098838,0.0229618507594056
native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_random_x_na4_chiT5p0_seed4102,echoed_independent,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_plus_chiprime_random_x_na4_chiT5p0_seed4102_echoed_independent.json,random_x,4,0,-2.1122608207610996,-3.214764660940276,-4.950879524340147,6.269574599977523,1.4700145119081123,4.8085399883376265,0.5472295851009779
native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_random_x_na4_chiT5p0_seed4102,echoed_independent,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_plus_chiprime_random_x_na4_chiT5p0_seed4102_echoed_independent.json,random_x,4,1,-2.6305457107520596,-1.5936410896110882,-5.475519314285775,6.280189043330578,1.8424757856909526,4.439453089629827,0.5472295851009779
native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_random_x_na4_chiT5p0_seed4102,echoed_independent,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_plus_chiprime_random_x_na4_chiT5p0_seed4102_echoed_independent.json,random_x,4,2,-0.013073345042252727,0.015108381572356618,0.012702683490410689,0.02367559317498236,1.322811816865673,1.309864883028073,0.5472295851009779
native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_random_x_na4_chiT5p0_seed4102,echoed_independent,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_plus_chiprime_random_x_na4_chiT5p0_seed4102_echoed_independent.json,random_x,4,3,-3.789167363257626,-0.9934461906682358,-4.8068369480192015,6.200839143646006,2.0814236244759887,4.150837455160298,0.5472295851009779
