rank,construction,ansatz,envelope,duration_ns,n_active,f_unitary,f_decoherence,f_practical,mean_abs_eps_z,mean_abs_eps_perp,parameter_count,study,case_id
806,independent echo,echoed independent,gaussian,1760.5633802816897,3,0.0157436131028899,0.906500787300615,0.014271597672725974,1.655603930266775,2.7527705644426423,21,ideal_sqr_direct_vs_echoed_multitone,chi_plus_chiprime_smooth_x_na3_chiT5p0
807,direct,baseline multitone,gaussian,1760.5633802816897,2,0.0147216838786344,0.9103767869122359,0.013402279267368849,,,6,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na2_chiT5p0_targetD_seed92361
808,echoed,echoed multitone,gaussian,1056.3380281690138,4,0.0141019327135889,0.9452195710415633,0.01332942279039549,,,27,parameterized_waveform_residual_z_cancellation,chi_only_na4_chiT3p0_targetD_seed94241
809,basis-expanded,basis expanded,gaussian,1760.5633802816897,3,0.0141665393196117,0.9103767869122359,0.012896888547453952,,,15,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na3_chiT5p0_targetD_seed93361
810,rich envelope,complex envelope,rich envelope,1760.5633802816897,3,0.0141647076684748,0.9103767869122359,0.012895221054777197,,,15,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na3_chiT5p0_targetD_seed93361
811,symmetric echo,echoed_fixed_total,gaussian,1056.3380281690138,2,0.0135245554672508,0.9452195710415633,0.01278367451728263,,,14,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na2_chiT3p0_familyC
812,symmetric echo,echoed_fixed_total,gaussian,1056.3380281690138,2,0.0135239514540901,0.9452195710415633,0.01278310359222197,,,14,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na2_chiT3p0_familyC
813,echoed,echoed multitone,gaussian,1760.5633802816897,3,0.0137672782442154,0.9103767869122359,0.012533410532495544,,,21,parameterized_waveform_residual_z_cancellation,chi_only_na3_chiT5p0_targetD_seed93261
814,two-segment direct,symmetric two segment,gaussian,1760.5633802816897,2,0.0136526151422045,0.9103767869122359,0.012429023906109471,,,12,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na2_chiT5p0_targetD_seed92361
815,symmetric echo,echoed_fixed_total,gaussian,1760.5633802816897,2,0.0136334287588889,0.9103767869122359,0.012411557068114148,,,14,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na2_chiT5p0_familyC
