active_duration_ns,case_id,chi_t_over_2pi,classification_label,classification_level,cpsqr_full_quartet_mean,cpsqr_full_quartet_min,cpsqr_joint_average_gate_fidelity,cpsqr_joint_operator_2norm,cpsqr_joint_process_fidelity,cpsqr_mean_residual_z_error_rad,cpsqr_mean_transverse_error_rad,cpsqr_reduced_pair_mean,cpsqr_reduced_process_mean,cpsqr_reduced_quartet_mean,cpsqr_reduced_quartet_min,cpsqr_reduced_single_ground_mean,duration_ns,fairness_mode,family_name,include_chi_prime,leakage_outside_target_mean,model_variant,n_active,objective_mode,other_target_population_mean,random_seed,same_block_population_mean,same_block_population_min,stage,strict_full_quartet_mean,strict_full_quartet_min,strict_joint_average_gate_fidelity,strict_joint_operator_2norm,strict_joint_process_fidelity,strict_mean_residual_z_error_rad,strict_mean_transverse_error_rad,strict_reduced_pair_mean,strict_reduced_process_mean,strict_reduced_quartet_mean,strict_reduced_quartet_min,strict_reduced_single_ground_mean,target_family,total_gate_duration_ns
352.112676056338,chi_plus_chiprime_smooth_x_na2_chiT1p0,1.0,no_useful_control,0,0.9057408571789944,0.8265619358778302,0.8988105897313863,0.4262534963971982,0.8735132371642329,0.03282303833566459,0.7112921008709827,0.9370803241307795,0.8741617198127278,0.9057408492358578,0.826561940181642,0.8746438288387657,352.112676056338,fixed_total_duration,gaussian_seed,True,8.326672684688674e-17,chi_plus_chiprime,2,strict,0.0,,1.0000000000000002,0.9999999999999998,screen,0.9054402528903335,0.8257766220318054,0.8980839740331346,0.4276181614098265,0.8726049675414183,0.07013965977379621,0.7111508138039759,0.9366586865635157,0.8735278901858623,0.9054402528903334,0.8257766220318051,0.8747091379444296,smooth_x,352.112676056338
352.112676056338,chi_plus_chiprime_smooth_x_na2_chiT1p0,1.0,reduced_state_success_only,2,0.9923108757584274,0.9781138965348918,0.9900148707908951,0.14858704293993477,0.9875185884886187,0.13491204766645187,0.1462581917719303,0.9936957299304097,0.9875414127636755,0.992310848345455,0.9781139309194659,0.9941529262651344,352.112676056338,fixed_total_duration,native_direct_strict,True,1.3877787807814457e-16,chi_plus_chiprime,2,strict,0.0,,0.9999999999999999,0.9999999999999998,screen,0.9870393680693803,0.9710564174305454,0.9832243978853092,0.2240140113856612,0.9790304973566366,0.18550816201609419,0.1891664833724413,0.9865768426875394,0.9793822033685502,0.9870393680693801,0.9710564174305452,0.9893850949273381,smooth_x,352.112676056338
352.112676056338,chi_plus_chiprime_smooth_x_na2_chiT1p0,1.0,reduced_state_success_only,2,0.9926656856070782,0.9798969393550612,0.9907319356719239,0.14230742832017096,0.9884149195899048,0.11988658446351527,0.1507769915177794,0.9941659418760234,0.988433547450317,0.9926656635237557,0.9798969660110664,0.9937936011809421,352.112676056338,fixed_total_duration,reduced_unitary_direct,True,0.0,chi_plus_chiprime,2,strict,0.0,,1.0,1.0,screen,0.9867620233781511,0.9719662593872493,0.9832969262966025,0.22310607439584976,0.9791211578707529,0.1727601284285351,0.20108732663522585,0.9861924808700266,0.9794710222625861,0.9867620233781511,0.9719662593872493,0.9881040266890031,smooth_x,352.112676056338
352.112676056338,chi_plus_chiprime_smooth_x_na2_chiT1p0,1.0,reduced_ideal_sqr_success,4,0.9965916457506245,0.9948977319406737,0.9956776909116651,0.07546736595921522,0.9945971136395815,0.09770759609529894,0.10141669488063569,0.9971335819552181,0.9945971339825443,0.99659161556649,0.9948977695999306,0.997171813743063,352.112676056338,fixed_total_duration,symmetric_two_segment,True,1.1102230246251565e-16,chi_plus_chiprime,2,strict,0.0,,1.0,0.9999999999999998,screen,0.9930797633170605,0.988519020916606,0.9906603642749598,0.13233490641903198,0.9883254553436998,0.15949907772409277,0.1406560502120397,0.9929087308420086,0.9886236044933538,0.9930797633170606,0.988519020916606,0.9950714624415244,smooth_x,352.112676056338
352.112676056338,chi_plus_chiprime_smooth_x_na2_chiT1p0,1.0,no_useful_control,0,0.9018532543355444,0.8420014855717775,0.895139229001199,0.4059414478158759,0.8689240362514987,0.004535516706724406,0.7366813393191558,0.9345673250493605,0.8691358840430068,0.9018532529333713,0.842001486366573,0.8691412067698747,352.112676056338,fixed_total_duration,complex_envelope,True,5.551115123125783e-17,chi_plus_chiprime,2,strict,0.0,,1.0,0.9999999999999998,screen,0.901799316064565,0.8419250285633629,0.8948587314133338,0.44005480918653084,0.8685734142666672,0.014430739325578848,0.7367944924493937,0.9344861697791657,0.8690476141230334,0.901799316064565,0.8419250285633628,0.8691019869066554,smooth_x,352.112676056338
352.112676056338,chi_plus_chiprime_smooth_x_na2_chiT1p0,1.0,no_useful_control,0,0.9064804921638223,0.8241282626401719,0.8996463066083784,0.42938370028399314,0.8745578832604731,0.0029273668576261383,0.7073182280346324,0.9376527852441581,0.8753066216582468,0.9064804911057256,0.8241282628915569,0.8753086698065263,352.112676056338,fixed_total_duration,basis_expanded,True,5.551115123125783e-17,chi_plus_chiprime,2,strict,0.0,,1.0000000000000002,0.9999999999999998,screen,0.9064019554911912,0.8240696225310172,0.899327523126584,0.4633175280941625,0.8741594039082302,0.019217370363874678,0.7074486706607351,0.9375487735951911,0.8751698543228883,0.9064019554911912,0.8240696225310171,0.8752680578564951,smooth_x,352.112676056338
352.112676056338,chi_plus_chiprime_smooth_x_na2_chiT1p0,1.0,no_useful_control,0,0.8748723441246803,0.5806137907802013,0.8191791156499981,0.690976059693724,0.7739738945624975,0.5693242167133424,0.48004761188578365,0.8937365808710538,0.7880118063597474,0.874872177695915,0.5806139322448755,0.9234649496075833,352.112676056338,fixed_active_duration,echoed_symmetric,True,5.551115123125783e-17,chi_plus_chiprime,2,strict,0.0,,1.0,0.9999999999999998,screen,0.8002948994885996,0.5140848677187071,0.29300978136321315,1.9990624990297055,0.11626222670401644,0.29855802274452975,0.8453003703217729,0.8259186358379352,0.7229650906475089,0.8002948994885997,0.5140848677187072,0.7552491672773369,smooth_x,432.11267605633793
352.112676056338,chi_plus_chiprime_smooth_x_na2_chiT1p0,1.0,no_useful_control,0,0.6551583236618104,0.5121334446978638,0.5770221980944006,0.8273170536491143,0.4712777476180008,1.004671617517638,1.2733076333546367,0.7017411756552248,0.4721027856045352,0.6551583444076658,0.5121334819300098,0.6764269610346884,352.112676056338,fixed_active_duration,echoed_independent,True,8.326672684688674e-17,chi_plus_chiprime,2,strict,0.0,,0.9999999999999999,0.9999999999999997,screen,0.6435263649199348,0.5352292691830322,0.4950368981167719,1.9965655943382148,0.3687961226459649,1.2347677772082584,1.1932114868697905,0.6574707858772024,0.42569475753279523,0.6435263649199348,0.535229269183032,0.7227145740152072,smooth_x,432.11267605633793
352.112676056338,chi_plus_chiprime_smooth_x_na2_chiT1p0,1.0,no_useful_control,0,0.6578384018544529,0.5300799969338448,0.6018661361594937,0.7878736842056958,0.5023326701993671,0.7596291588119726,1.3564785248745896,0.7276910595325565,0.5026985038971615,0.657838610592888,0.5300801339618588,0.6259574852306138,352.112676056338,fixed_active_duration,echoed_asymmetric,True,1.3877787807814457e-16,chi_plus_chiprime,2,strict,0.0,,0.9999999999999999,0.9999999999999998,screen,0.637582911375173,0.5491299293510951,0.5117320691248307,1.9976580570628433,0.38966508640603836,1.0076734681156208,1.3311412828836242,0.6449080699329794,0.4498095309605916,0.637582911375173,0.5491299293510952,0.6507121632297652,smooth_x,432.11267605633793
352.112676056338,chi_plus_chiprime_smooth_x_na2_chiT1p0,1.0,no_useful_control,0,0.9708632448275127,0.9515814671602745,0.9598263291329957,0.2291963623253266,0.9497829114162447,0.36829183649881897,0.23512975622434723,0.9716797434027216,0.9497836062252982,0.9708632885953742,0.9515814205920267,0.9838873531710959,352.112676056338,fixed_active_duration,echoed_cpsqr,True,2.7755575615628914e-16,chi_plus_chiprime,2,cpsqr,0.0,,0.9999999999999998,0.9999999999999996,screen,0.8487021215288619,0.647550221725742,0.289254969909133,1.986801776488801,0.11156871238641625,0.2587872533866853,0.8097332110307222,0.812244478350181,0.7928402487453268,0.8487021215288619,0.6475502217257421,0.8091292256222091,smooth_x,432.11267605633793
