family,regime,fidelity_eta,residual_photons,qnd_preservation,repeat_consistency,peak_photons
square,full,0.870820980067259,1.4853542202821557,0.9933118016115277,0.8529773587211873,1.6923793154894198
ring_hold,full,0.9468975904348272,0.553957260765614,0.9933118016115277,0.9283002897465342,3.5287076832691433
procedural_segments,full,0.9559694743203302,0.6197197005824284,0.9933118016115275,0.9504149575004022,3.9789140683550577
nulling_tail,full,0.9438641967685177,0.2651815746044885,0.9933118016115278,0.9356362448930722,4.286708551650826
fourier_basis,full,0.9530182480812511,0.720821799387288,0.9933118016115277,0.938358915884281,3.5169017451297435
piecewise_reference,linear,0.9846891108255433,5.57171058229661,1.0,0.979329641374474,5.57797075571836
