case_id,model_variant,include_chi_prime,family,seed,n_active,chi_t_over_2pi,duration_s,duration_ns,construction,restricted_process_fidelity,restricted_average_gate_fidelity,restricted_fro_error,per_block_process_fidelities,per_block_average_gate_fidelities,per_block_rotation_angle_errors_rad,per_block_rotation_axis_errors_rad,per_block_residual_z_error_rad,per_block_transverse_error_rad,per_block_actual_rotvec_z_rad,mean_block_average_gate_fidelity,worst_block_average_gate_fidelity,mean_residual_z_error_rad,max_residual_z_error_rad,mean_transverse_error_rad,max_transverse_error_rad,best_fit_restricted_process_fidelity,uncorrected_restricted_process_fidelity,same_block_population_mean,same_block_population_min,other_target_population_mean,other_target_population_max,leakage_outside_target_mean,leakage_outside_target_max,weighted_loss,best_fit_block_phase_rms_rad,optimization_success,optimization_message,n_optimizer_history,corrections_vector,source_case,reduced_vs_full_restricted_process_fidelity,reduced_vs_full_restricted_average_gate_fidelity,magnus_vs_full_restricted_process_fidelity,magnus_vs_full_restricted_average_gate_fidelity,echo_half_duration_ns,echo_total_duration_ns,echo_pi_duration_ns
chi_only_aligned_x_na4_chiT3p0,chi_only,False,aligned_x,,4,3.0,1.0563380281690138e-06,1056.3380281690138,magnus_effective,0.0662576768772833,0.17000682389091848,1.2186831696733749,"[0.2932406368991954, 0.2948963414282115, 0.1972504911134338, 0.2490676878460672]","[0.5288270912661303, 0.5299308942854744, 0.4648336607422892, 0.4993784585640448]","[0.6149801231914394, 0.4965228821941935, 1.323696834086331, 1.2246744648667136]","[2.0067033318505745, 1.9948078502339943, 1.784869726750938, 1.0832225786651568]","[0.8466443296974155, 0.8511107186651743, 0.7072158029227598, 1.2809079568016042]","[1.8087698257301323, 1.8026546779145585, 2.105594145403479, 1.659757429234103]","[0.2385842783086626, 0.26796990650826175, 0.5942987878572268, 0.00914673673009204]",0.5057425262144847,0.4648336607422892,0.9214697020217384,1.2809079568016042,1.8441940195705682,2.105594145403479,,,,,,,,,,,,,,,chi_only_aligned_x_na4_chiT3p0,,,0.19877974828000966,0.28780422069334194,,,
chi_only_aligned_x_na4_chiT3p0,chi_only,False,aligned_x,,4,3.0,1.0563380281690138e-06,1056.3380281690138,decoupled_block,1.0,1.0,7.850462293418875e-17,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 3.3306690738754696e-16, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1.0,1.0,0.0,0.0,8.326672684688674e-17,3.3306690738754696e-16,,,1.0,,,,0.0,,,,,,,,,,,,,,,
chi_only_aligned_x_na4_chiT5p0,chi_only,False,aligned_x,,4,5.0,1.7605633802816898e-06,1760.5633802816897,full_shared_line,0.3884935630515525,0.4564387227124911,0.8680669441454923,"[0.8249190002662335, 0.570825812871452, 0.2945604733541802, 0.0822927703984186]","[0.8832793335108224, 0.7138838752476347, 0.5297069822361201, 0.38819518026561245]","[0.855220388612331, 1.4271578857439249, 1.9741649522703428, 2.5160076556958253]","[0.8353473108120445, 0.41139675101601425, 1.0989227032378908, 1.2897879295181445]","[0.016971158899498646, 0.0057386452047650804, 0.020407587047443148, 0.02113639464748523]","[0.8632691322714712, 1.4286609403628596, 1.9941132234158845, 2.5595970127620236]","[-0.01811169832237466, 0.0071853557680321214, 0.032469623373780225, 0.057740272584969825]",0.6287663428150474,0.38819518026561245,0.016063446449798027,0.02113639464748523,1.7114100772030596,2.5595970127620236,0.3885596408888303,0.3884935630515525,1.0000050419319806,1.000004952963651,0.0,0.0,0.0,0.0,0.722866424702012,0.023979643868517277,True,Optimization terminated successfully.,235.0,"[0.7489002938462139, 0.7494869614426146, 0.7478215950268747, 0.7495669605178247, -0.613980043412315, -0.6302060180972412, -0.6351628421605344, -0.6415786640335932]",,,,,,,,
chi_only_aligned_x_na4_chiT5p0,chi_only,False,aligned_x,,4,5.0,1.7605633802816898e-06,1760.5633802816897,blockwise_exact_reduced,0.38849651317625933,0.45644134504556383,0.8680670519925111,"[0.8249356492017583, 0.5708267848768707, 0.29456123319379485, 0.08229217360498926]","[0.8832904328011723, 0.7138845232512471, 0.5297074887958632, 0.3881947824033262]","[0.8552275720283261, 1.4271548477350173, 1.9741648442893955, 2.5160076335799593]","[0.8349830606295057, 0.4113792356566425, 1.0989306613828278, 1.289816896054065]","[0.01696100676791299, 0.005737038700249335, 0.020405168386511196, 0.021134059983604125]","[0.8632673354940898, 1.4286580401989821, 1.9941134598526802, 2.559598702514013]","[-0.018100395317156247, 0.007186196797887619, 0.03246983210487277, 0.05774076640169729]",0.6287693068129021,0.3881947824033262,0.016059318459569413,0.021134059983604125,1.7114093845149414,2.559598702514013,,,,,,,,,,,,,,,chi_only_aligned_x_na4_chiT5p0,1.0,1.0,,,,,
chi_only_aligned_x_na4_chiT5p0,chi_only,False,aligned_x,,4,5.0,1.7605633802816898e-06,1760.5633802816897,magnus_effective,0.06789202345445532,0.17145957640396028,1.216091297246867,"[0.08059929717560421, 0.06503173559875589, 0.06272921969229718, 0.0639445181754422]","[0.3870661981170695, 0.3766878237325039, 0.3751528131281981, 0.3759630121169615]","[2.1311602372700023, 1.024056813519156, 0.08803276640156188, 1.2464821757350752]","[2.510480985734406, 2.5062714451958534, 2.5062342399632893, 2.493925370304406]","[1.0236032669270885, 1.1616017280533084, 1.13820512826629, 0.9147966037460533]","[2.3528593535654725, 2.3549680078593975, 2.376809081076305, 2.466091284630708]","[-0.46927758439538964, -0.21347371471562587, -0.03264494150862584, 0.12692555228842164]",0.37871746177368326,0.3751528131281981,1.059551681748185,1.1616017280533084,2.3876819317829705,2.466091284630708,,,,,,,,,,,,,,,chi_only_aligned_x_na4_chiT5p0,,,0.18804030911521585,0.27825805254685854,,,
chi_only_aligned_x_na4_chiT5p0,chi_only,False,aligned_x,,4,5.0,1.7605633802816898e-06,1760.5633802816897,decoupled_block,1.0,1.0,1.2412670766236366e-16,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 4.440892098500626e-16, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.551115123125783e-16, 0.0]","[0.0, 0.0, 0.0, 0.0]",1.0,1.0,0.0,0.0,1.3877787807814457e-16,5.551115123125783e-16,,,1.0,,,,0.0,,,,,,,,,,,,,,,
chi_only_structured_xy_na2_chiT1p0,chi_only,False,structured_xy,,2,1.0,3.52112676056338e-07,352.112676056338,full_shared_line,0.7543239833424815,0.8034591866739852,0.5128550348475164,"[0.8430532382832692, 0.6706276724656436]","[0.8953688255221794, 0.7804184483104292]","[0.7956655403946226, 1.212438214853767]","[1.45743701974767, 1.3556120199563149]","[0.020620474683420712, 0.011790663383488751]","[0.8144166245686807, 1.2224903712450603]","[-0.02089628151226992, 0.012380407887106247]",0.8378936369163044,0.7804184483104292,0.01620556903345473,0.020620474683420712,1.0184534979068705,1.2224903712450603,0.7543772833978946,0.7543239833424815,1.0000020929063025,1.0000020776958118,0.0,0.0,0.0,0.0,0.29429512939447783,0.011906917187308646,True,Optimization terminated successfully.,119.0,"[-0.7477875985971545, 0.7494890759663692, -1.1163640368572587, 0.7531554769983442]",,,,,,,,
chi_only_structured_xy_na2_chiT1p0,chi_only,False,structured_xy,,2,1.0,3.52112676056338e-07,352.112676056338,blockwise_exact_reduced,0.7543319870349398,0.8034655896279517,0.5128568645084793,"[0.8430669541678987, 0.6706305309426089]","[0.8953779694452658, 0.7804203539617394]","[0.79566885337265, 1.2124384679383247]","[1.4573993700398902, 1.3558211186007771]","[0.02061884584911194, 0.011791303330606216]","[0.8144161672166337, 1.2224930332466455]","[-0.02089233813058886, 0.012380640152468966]",0.8378991617035025,0.7804203539617394,0.016205074589859078,0.02061884584911194,1.0184546002316397,1.2224930332466455,,,,,,,,,,,,,,,chi_only_structured_xy_na2_chiT1p0,1.0,1.0,,,,,
chi_only_structured_xy_na2_chiT1p0,chi_only,False,structured_xy,,2,1.0,3.52112676056338e-07,352.112676056338,magnus_effective,0.11193210110364603,0.2895456808829168,1.1536355127553284,"[0.19379977015798985, 0.052394363392974694]","[0.46253318010532657, 0.36826290892864977]","[1.023922335773202, 1.4732793071624026]","[1.944892974321065, 2.3869878847141446]","[0.417761111513335, 1.1692372852209785]","[2.1904073189098243, 2.411158169384864]","[1.0197887425156653, 0.14067693647852367]",0.41539804451698814,0.36826290892864977,0.7934991983671568,1.1692372852209785,2.300782744147344,2.411158169384864,,,,,,,,,,,,,,,chi_only_structured_xy_na2_chiT1p0,,,0.03640891787775029,0.22912713430220025,,,
chi_only_structured_xy_na2_chiT1p0,chi_only,False,structured_xy,,2,1.0,3.52112676056338e-07,352.112676056338,decoupled_block,1.0,1.0,0.0,"[1.0, 0.9999999999999998]","[1.0, 0.9999999999999999]","[0.0, 0.0]","[2.1073424255447017e-08, 0.0]","[0.0, 0.0]","[2.645895342081005e-18, 4.66426764409799e-17]","[0.0, 0.0]",1.0,0.9999999999999999,0.0,0.0,2.4644285891530453e-17,4.66426764409799e-17,,,1.0,,,,0.0,,,,,,,,,,,,,,,
chi_only_structured_xy_na2_chiT3p0,chi_only,False,structured_xy,,2,3.0,1.0563380281690138e-06,1056.3380281690138,full_shared_line,0.7572883868886953,0.8058307095109563,0.5095086733195759,"[0.8453995855258527, 0.6741032536835396]","[0.8969330570172351, 0.7827355024556931]","[0.8043322422338952, 1.1983705203478496]","[0.8049154314184274, 1.1771632483500447]","[0.007959150664332901, 0.024253756482163307]","[0.8081700887028223, 1.2149012024951702]","[-0.005289030649212284, 0.024265442986178894]",0.8398342797364642,0.7827355024556931,0.016106453573248105,0.024253756482163307,1.0115356455989963,1.2149012024951702,0.7573298829365489,0.7572883868886953,1.0000028742080076,1.000002855386621,0.0,0.0,0.0,0.0,0.2907472878296797,0.010485180288926565,True,Optimization terminated successfully.,124.0,"[0.7496536775819173, -0.7496536775576004, -1.2989162692512355, 0.6564125093807549]",,,,,,,,
chi_only_structured_xy_na2_chiT3p0,chi_only,False,structured_xy,,2,3.0,1.0563380281690138e-06,1056.3380281690138,blockwise_exact_reduced,0.7572872443207619,0.8058297954566095,0.5095100111803698,"[0.8453960855951578, 0.6741042230533661]","[0.8969307237301051, 0.7827361487022442]","[0.8043364624249032, 1.19837098459889]","[0.804913274597014, 1.1772470335919314]","[0.007953525510363768, 0.024255294861639364]","[0.8081730178250561, 1.2149034352341361]","[-0.00528271793110505, 0.024265323383301632]",0.8398334362161746,0.7827361487022442,0.016104410186001568,0.024255294861639364,1.0115382265295962,1.2149034352341361,,,,,,,,,,,,,,,chi_only_structured_xy_na2_chiT3p0,1.0,1.0,,,,,
chi_only_structured_xy_na2_chiT3p0,chi_only,False,structured_xy,,2,3.0,1.0563380281690138e-06,1056.3380281690138,magnus_effective,0.07119272710525051,0.25695418168420037,1.2109338109312378,"[0.008580977124483925, 0.19448606433554255]","[0.3390539847496559, 0.4629907095570284]","[2.294269877643759, 0.06424524864110115]","[1.8426604978005459, 2.4511626129714355]","[1.1646397625690563, 0.20892160850516442]","[2.716965623928671, 2.218338397474169]","[-0.03321255732259144, -0.2668784395599151]",0.4010223471533422,0.3390539847496559,0.6867806855371104,1.1646397625690563,2.46765201070142,2.716965623928671,,,,,,,,,,,,,,,chi_only_structured_xy_na2_chiT3p0,,,0.16631036315201037,0.3330482905216083,,,
chi_only_structured_xy_na2_chiT3p0,chi_only,False,structured_xy,,2,3.0,1.0563380281690138e-06,1056.3380281690138,decoupled_block,1.0,1.0,0.0,"[1.0, 0.9999999999999998]","[1.0, 0.9999999999999999]","[0.0, 0.0]","[2.1073424255447017e-08, 0.0]","[0.0, 0.0]","[2.645895342081005e-18, 4.66426764409799e-17]","[0.0, 0.0]",1.0,0.9999999999999999,0.0,0.0,2.4644285891530453e-17,4.66426764409799e-17,,,1.0,,,,0.0,,,,,,,,,,,,,,,
chi_only_structured_xy_na2_chiT5p0,chi_only,False,structured_xy,,2,5.0,1.7605633802816898e-06,1760.5633802816897,full_shared_line,0.7556713346505547,0.8045370677204439,0.5113201574921157,"[0.8441317125104886, 0.6721644329275903]","[0.8960878083403258, 0.7814429552850601]","[0.807601480727503, 1.2048408499248238]","[0.979465115491839, 1.2679283976585183]","[0.007711552824401381, 0.018571480373022458]","[0.8116757431969727, 1.219136368940249]","[-0.006292582668121781, 0.019222465608231577]",0.838765381812693,0.7814429552850601,0.01314151659871192,0.018571480373022458,1.015406056068611,1.219136368940249,0.7557022727730315,0.7556713346505547,1.0000037133476662,1.0000036995296893,0.0,0.0,0.0,0.0,0.2926906020567103,0.009063444172583044,True,Optimization terminated successfully.,118.0,"[0.7493203442193228, 0.7496536775575683, 0.08358021450254052, -1.0963206957272515]",,,,,,,,
chi_only_structured_xy_na2_chiT5p0,chi_only,False,structured_xy,,2,5.0,1.7605633802816898e-06,1760.5633802816897,blockwise_exact_reduced,0.7556695799314118,0.8045356639451295,0.511321866286756,"[0.84412789370035, 0.6721645296771016]","[0.8960852624669, 0.7814430197847345]","[0.8076044933839145, 1.2048422687260174]","[0.9791974687024408, 1.268201729449789]","[0.007705953765021178, 0.018573012782665]","[0.8116753951807453, 1.2191420899389362]","[-0.006284605573123323, 0.019222368306385084]",0.8387641411258173,0.7814430197847345,0.013139483273843088,0.018573012782665,1.0154087425598408,1.2191420899389362,,,,,,,,,,,,,,,chi_only_structured_xy_na2_chiT5p0,1.0,1.0,,,,,
chi_only_structured_xy_na2_chiT5p0,chi_only,False,structured_xy,,2,5.0,1.7605633802816898e-06,1760.5633802816897,magnus_effective,0.0517610789083484,0.24140886312667872,1.242971751297798,"[0.1432149152769133, 0.005865072295483924]","[0.4288099435179422, 0.33724338153032263]","[2.2889413144642554, 1.4740622893204545]","[3.0362152949612047, 2.0447597974676475]","[0.06602333348541554, 1.3873172251087837]","[2.3644557791234506, 2.6467222135908104]","[-0.19941459500178788, 0.12052310387287597]",0.3830266625241324,0.33724338153032263,0.7266702792970996,1.3873172251087837,2.5055889963571305,2.6467222135908104,,,,,,,,,,,,,,,chi_only_structured_xy_na2_chiT5p0,,,0.013514195428673851,0.21081135634293907,,,
chi_only_structured_xy_na2_chiT5p0,chi_only,False,structured_xy,,2,5.0,1.7605633802816898e-06,1760.5633802816897,decoupled_block,1.0,1.0,0.0,"[1.0, 0.9999999999999998]","[1.0, 0.9999999999999999]","[0.0, 0.0]","[2.1073424255447017e-08, 0.0]","[0.0, 0.0]","[2.645895342081005e-18, 4.66426764409799e-17]","[0.0, 0.0]",1.0,0.9999999999999999,0.0,0.0,2.4644285891530453e-17,4.66426764409799e-17,,,1.0,,,,0.0,,,,,,,,,,,,,,,
chi_only_structured_xy_na3_chiT1p0,chi_only,False,structured_xy,,3,1.0,3.52112676056338e-07,352.112676056338,full_shared_line,0.6522159402197087,0.7018993773311789,0.6204827413945834,"[0.8419532379658268, 0.6720691210502416, 0.47010556270300896]","[0.8946354919772178, 0.7813794140334944, 0.646737041802006]","[0.7741003253649619, 1.2140841198637682, 1.609460087168446]","[1.5672006516235906, 1.0267324039953978, 1.4407725490613417]","[0.04242082535508176, 0.009178626308621984, 0.022003457061330764]","[0.8166129510325026, 1.2194543334768067, 1.6304812262829358]","[-0.042258724560338724, -0.009387745034912635, 0.023452043486208173]",0.7742506492709061,0.646737041802006,0.024534302908344834,0.04242082535508176,1.2221828369307486,1.6304812262829358,0.6523366246910031,0.6522159402197087,1.0000093315171643,1.000009199726636,0.0,0.0,0.0,0.0,0.4154740513413069,0.021738916090841665,True,Optimization terminated successfully.,194.0,"[-0.7471209319117506, 0.7489002938462139, 0.7482206380655366, -0.5307414356965386, 1.467748962667852, 0.26164547460873516]",,,,,,,,
chi_only_structured_xy_na3_chiT1p0,chi_only,False,structured_xy,,3,1.0,3.52112676056338e-07,352.112676056338,blockwise_exact_reduced,0.6522187028069779,0.7019017452631239,0.620483383805703,"[0.8419644980175783, 0.672068475269589, 0.4701047238304911]","[0.8946429986783855, 0.7813789835130592, 0.6467364825536608]","[0.7741043480350114, 1.2140853099236915, 1.6094602643146423]","[1.5672093950370558, 1.02685543010382, 1.440799191793781]","[0.04241738544939978, 0.009178584744361853, 0.02200193441703863]","[0.8166133191305773, 1.2194561199117362, 1.6304819072270096]","[-0.042254444406115026, -0.009387344214750694, 0.023452414832380586]",0.7742528215817018,0.6467364825536608,0.024532634870266756,0.04241738544939978,1.2221837820897743,1.6304819072270096,,,,,,,,,,,,,,,chi_only_structured_xy_na3_chiT1p0,1.0,1.0,,,,,
chi_only_structured_xy_na3_chiT1p0,chi_only,False,structured_xy,,3,1.0,3.52112676056338e-07,352.112676056338,magnus_effective,0.00804137936913517,0.149749753744973,1.3493155757949544,"[0.03432466738784176, 0.034461175345421625, 0.07257057028706256]","[0.35621644492522786, 0.35630745023028104, 0.3817137135247084]","[1.4338676922977043, 1.3214652447670499, 0.5130767194310015]","[2.1974094489893528, 1.6694568721161294, 2.7663322425462566]","[1.3635859987881809, 0.8400654703672085, 0.8661951772618383]","[2.409864429585029, 2.6376041591617816, 2.4473070430018145]","[1.6503459081360408, -0.7339535870604909, 0.57705063810244]",0.36474586956007243,0.35621644492522786,1.0232822154724093,1.3635859987881809,2.4982585439162084,2.6376041591617816,,,,,,,,,,,,,,,chi_only_structured_xy_na3_chiT1p0,,,0.014013263519856514,0.15486851158844844,,,
chi_only_structured_xy_na3_chiT1p0,chi_only,False,structured_xy,,3,1.0,3.52112676056338e-07,352.112676056338,decoupled_block,1.0,1.0,0.0,"[1.0, 0.9999999999999998, 1.0]","[1.0, 0.9999999999999999, 1.0]","[0.0, 0.0, 0.0]","[2.1073424255447017e-08, 0.0, 2.1073424255447017e-08]","[0.0, 0.0, 0.0]","[2.645895342081005e-18, 4.66426764409799e-17, 1.1780198166684962e-17]","[0.0, 0.0, -0.0]",1.0,0.9999999999999999,0.0,0.0,2.0356256649915287e-17,4.66426764409799e-17,,,1.0,,,,0.0,,,,,,,,,,,,,,,
chi_only_structured_xy_na3_chiT3p0,chi_only,False,structured_xy,,3,3.0,1.0563380281690138e-06,1056.3380281690138,full_shared_line,0.6545571995071264,0.7039061710061084,0.6181047939151194,"[0.8428294405045855, 0.6753162726977471, 0.4726310375427224]","[0.895219627003057, 0.783544181798498, 0.6484206916951483]","[0.802496836452181, 1.1977001512047, 1.578346157054269]","[1.4560912693492813, 1.0837222293862678, 1.4115210812710581]","[0.010567273941495233, 0.018592191069719863, 0.04957723185012376]","[0.8152240398395962, 1.2124102550252212, 1.624807360270373]","[-0.0055268833270743795, 0.024023131771082055, 0.05356896367341088]",0.7757281668322346,0.6484206916951483,0.026245565620446287,0.04957723185012376,1.21748055171173,1.624807360270373,0.6546511072099329,0.6545571995071264,1.000002025003227,1.000002009035366,0.0,0.0,0.0,0.0,0.4126850694624619,0.019143239137682847,True,Optimization terminated successfully.,188.0,"[0.7496031184669343, -0.7496536775530168, -0.7496536775576004, -0.5571657286414786, 1.3825095597808617, 0.2852965284900375]",,,,,,,,
chi_only_structured_xy_na3_chiT3p0,chi_only,False,structured_xy,,3,3.0,1.0563380281690138e-06,1056.3380281690138,blockwise_exact_reduced,0.6545553448454965,0.7039045812961399,0.6181067751131982,"[0.8428257966325573, 0.6753160282132121, 0.4726292380131326]","[0.8952171977550382, 0.7835440188088082, 0.648419492008755]","[0.802502658997812, 1.1977015772950825, 1.5783466831057922]","[1.4565494246147843, 1.0838478891611425, 1.4115771637904717]","[0.010560484920787882, 0.0185902382910965, 0.0495766277663101]","[0.8152312248385205, 1.2124140145241258, 1.6248105225428242]","[-0.005520969328930611, 0.024023014770108393, 0.05356911277847518]",0.7757269028575338,0.648419492008755,0.026242450326064825,0.0495766277663101,1.2174852539684902,1.6248105225428242,,,,,,,,,,,,,,,chi_only_structured_xy_na3_chiT3p0,1.0,1.0,,,,,
chi_only_structured_xy_na3_chiT3p0,chi_only,False,structured_xy,,3,3.0,1.0563380281690138e-06,1056.3380281690138,magnus_effective,0.20009266409110504,0.31436514064951865,1.0513637000525142,"[0.10436239851281226, 0.39358649625537, 0.15329976233099973]","[0.40290826567520815, 0.5957243308369133, 0.4355331748873332]","[2.2943474875991106, 0.06734710289747126, 0.893008961755817]","[2.584294366408683, 1.754479181234796, 2.778431193090301]","[0.5819806209641342, 0.4670989501700546, 0.04157841870216513]","[2.414540278292469, 1.7230742733469648, 2.336624092154206]","[-0.03998549105241367, -0.25304419978658316, -0.16728980780528135]",0.47805525713315156,0.40290826567520815,0.3635526632787846,0.5819806209641342,2.1580795479312136,2.414540278292469,,,,,,,,,,,,,,,chi_only_structured_xy_na3_chiT3p0,,,0.3381565758960266,0.43270563648230853,,,
chi_only_structured_xy_na3_chiT3p0,chi_only,False,structured_xy,,3,3.0,1.0563380281690138e-06,1056.3380281690138,decoupled_block,1.0,1.0,0.0,"[1.0, 0.9999999999999998, 1.0]","[1.0, 0.9999999999999999, 1.0]","[0.0, 0.0, 0.0]","[2.1073424255447017e-08, 0.0, 2.1073424255447017e-08]","[0.0, 0.0, 0.0]","[2.645895342081005e-18, 4.66426764409799e-17, 1.1780198166684962e-17]","[0.0, 0.0, -0.0]",1.0,0.9999999999999999,0.0,0.0,2.0356256649915287e-17,4.66426764409799e-17,,,1.0,,,,0.0,,,,,,,,,,,,,,,
chi_only_structured_xy_na3_chiT5p0,chi_only,False,structured_xy,,3,5.0,1.7605633802816898e-06,1760.5633802816897,full_shared_line,0.6538844968511401,0.7033295687295487,0.6187481354721692,"[0.8427210910319832, 0.6741895951875504, 0.4718795162253925]","[0.8951473940213223, 0.782793063458367, 0.647919677483595]","[0.801816986184702, 1.2067841114759392, 1.5918111690992922]","[1.4806078582895925, 0.9750532164759089, 1.4035967924422506]","[0.014235795274981094, 0.01116928276796387, 0.03773230877865139]","[0.815468193523218, 1.2149078944040144, 1.6266322633317023]","[-0.010479999255032181, 0.014957130035407941, 0.04038670929061655]",0.7752867116544281,0.647919677483595,0.021045795607198787,0.03773230877865139,1.219002783752978,1.6266322633317023,0.653954596558142,0.6538844968511401,1.0000030040905867,1.0000029648320323,0.0,0.0,0.0,0.0,0.41350591817795146,0.016547524863364346,True,Optimization terminated successfully.,184.0,"[0.7492336272002901, 0.74855397139887, 0.7482206380655366, 0.8275212710326348, -0.32951931343142615, -1.5480392019781766]",,,,,,,,
chi_only_structured_xy_na3_chiT5p0,chi_only,False,structured_xy,,3,5.0,1.7605633802816898e-06,1760.5633802816897,blockwise_exact_reduced,0.6538885221178286,0.7033330189581388,0.6187485036892771,"[0.8427309699339424, 0.6741938261561691, 0.4718788430112424]","[0.8951539799559617, 0.7827958841041127, 0.6479192286741616]","[0.8018270927123182, 1.2067828729241052, 1.5918105290369908]","[1.480627722141061, 0.9750071847371666, 1.403604695801371]","[0.014224451948247516, 0.011167354306285824, 0.037734383494641796]","[0.8154694247340564, 1.2149065206778789, 1.6266324479212846]","[-0.010469675761418495, 0.014957069450400868, 0.04038692904316397]",0.7752896975780788,0.6479192286741616,0.021042063249725046,0.037734383494641796,1.2190027977777398,1.6266324479212846,,,,,,,,,,,,,,,chi_only_structured_xy_na3_chiT5p0,1.0,1.0,,,,,
chi_only_structured_xy_na3_chiT5p0,chi_only,False,structured_xy,,3,5.0,1.7605633802816898e-06,1760.5633802816897,magnus_effective,0.012238267123126688,0.15334708610553718,1.3336965909281164,"[0.060550684451574945, 0.12520732997325293, 0.07184375816130324]","[0.37370045630105, 0.41680488664883525, 0.38122917210753554]","[2.2786487904275683, 1.479891635622378, 0.655242409176932]","[2.309145891344296, 2.81109428369615, 1.5934960003089027]","[0.5341546648617056, 0.5229783184169685, 1.6660509558312366]","[2.589833509514994, 2.3610036715865554, 1.9946097019849731]","[-0.3203959610435688, -0.07004606756896865, 0.16252340331660742]",0.39057817168580694,0.37370045630105,0.9077279797033037,1.6660509558312366,2.3151489610288407,2.589833509514994,,,,,,,,,,,,,,,chi_only_structured_xy_na3_chiT5p0,,,0.045822189473798125,0.18213330526325552,,,
chi_only_structured_xy_na3_chiT5p0,chi_only,False,structured_xy,,3,5.0,1.7605633802816898e-06,1760.5633802816897,decoupled_block,1.0,1.0,0.0,"[1.0, 0.9999999999999998, 1.0]","[1.0, 0.9999999999999999, 1.0]","[0.0, 0.0, 0.0]","[2.1073424255447017e-08, 0.0, 2.1073424255447017e-08]","[0.0, 0.0, 0.0]","[2.645895342081005e-18, 4.66426764409799e-17, 1.1780198166684962e-17]","[0.0, 0.0, -0.0]",1.0,0.9999999999999999,0.0,0.0,2.0356256649915287e-17,4.66426764409799e-17,,,1.0,,,,0.0,,,,,,,,,,,,,,,
chi_only_structured_xy_na4_chiT1p0,chi_only,False,structured_xy,,4,1.0,3.52112676056338e-07,352.112676056338,full_shared_line,0.5420224889464111,0.5929088790634766,0.726568481512065,"[0.8395199617846182, 0.6707011841282562, 0.47225972140296524, 0.27347728791331655]","[0.8930133078564122, 0.7804674560855042, 0.6481731476019769, 0.5156515252755444]","[0.7648465573355684, 1.2050742556409915, 1.6177692347617845, 1.9948117225530395]","[1.686749656139632, 1.422930355288826, 1.0878417594140164, 1.5411652796649837]","[0.05060625990503698, 0.020551565514903242, 0.011341286027324813, 0.03646435605400035]","[0.8227982153038006, 1.2222217558120525, 1.6262703065089457, 2.040651971718123]","[-0.05135808626042044, -0.018647641454989816, 0.014026231338684275, 0.046661174535990696]",0.7093263592048594,0.5156515252755444,0.029740866875316345,0.05060625990503698,1.4279855623357305,2.040651971718123,0.5422035229567903,0.5420224889464111,1.0000047109750292,1.0000046182788205,0.0,0.0,0.0,0.0,0.5451323819689563,0.03150269132094089,True,Optimization terminated successfully.,247.0,"[-0.7453415699772872, -0.7453415699772872, 0.7417129657219174, 0.7474384279262224, 0.38939476348198543, -0.8718897570331541, 1.1085425023722124, -0.0766510816362564]",,,,,,,,
chi_only_structured_xy_na4_chiT1p0,chi_only,False,structured_xy,,4,1.0,3.52112676056338e-07,352.112676056338,blockwise_exact_reduced,0.542026293871655,0.5929122612192489,0.7265710163373098,"[0.8395376398025216, 0.6707079644673202, 0.472258378576527, 0.2734747041590929]","[0.8930250932016811, 0.7804719763115467, 0.6481722523843514, 0.5156498027727286]","[0.7648510818328708, 1.2050752045174755, 1.617772078273883, 1.994812717472264]","[1.6867219284506252, 1.4229591075939563, 1.0881752271460376, 1.5413035913805315]","[0.05060139776627262, 0.02055024874141925, 0.011343982898376329, 0.03645971990973221]","[0.8227963034796967, 1.2222224785626072, 1.626276290922433, 2.04065860075502]","[-0.05135397781260613, -0.018647424103402983, 0.014025984298683177, 0.04666105279299951]",0.709329781167577,0.5156498027727286,0.029738837328950104,0.05060139776627262,1.4279884184299392,2.04065860075502,,,,,,,,,,,,,,,chi_only_structured_xy_na4_chiT1p0,1.0,1.0,,,,,
