case_id,construction,model_variant,include_chi_prime,target_family,n_active,chi_t_over_2pi,theta_values_rad,phi_values_rad,pulse_duration_ns,active_sqr_duration_ns,total_gate_duration_ns,segment_1_duration_ns,segment_2_duration_ns,duration_asymmetry_eta,pi_pulse_duration_ns,half_waveforms_identical,average_gate_fidelity,restricted_process_fidelity,restricted_fro_error,restricted_unitarity_error,state_transfer_fidelity_mean,state_transfer_fidelity_min,same_block_population_mean,same_block_population_min,other_target_population_mean,other_target_population_max,leakage_outside_target_mean,leakage_outside_target_max,weighted_loss,mean_residual_z_error_rad,max_residual_z_error_rad,mean_transverse_error_rad,max_transverse_error_rad,per_block_average_gate_fidelities,per_block_process_fidelities,per_block_rotation_angle_errors_rad,per_block_rotation_axis_errors_rad,per_block_residual_z_errors_rad,per_block_transverse_errors_rad,state_validation_ground_fidelity,state_validation_plus_fidelity,optimizer_kind,optimizer_success,optimizer_nfev,optimizer_runtime_s,target_operator_rule
chi_plus_chiprime_smooth_x_na3_chiT3p0,direct_multitone,chi_plus_chiprime,True,smooth_x,3,3.0,"[0.9424777960769379, 1.5079644737231006, 2.0734511513692633]","[0.0, 0.0, 0.0]",1056.3380281690138,1056.3380281690138,1056.3380281690138,1056.3380281690138,0.0,0.0,0.0,True,0.5670726022431635,0.4949180359503573,0.7716697974511194,2.7661210948738777e-06,0.550808345873935,0.259042347019085,1.0,0.9999999999999997,0.0,0.0,5.551115123125783e-17,3.3306690738754696e-16,0.5758649066545279,0.10240807433794673,0.2519882836181713,1.5115074803007327,2.083366682660124,"[0.8625291712090064, 0.6871219890928836, 0.4988018393104982]","[0.7937937568135096, 0.5306829836393254, 0.2482027589657473]","[0.9408646776004275, 1.441069071857704, 1.6615285215785063]","[1.7221054834363836, 1.574334040597973, 1.5712691286594784]","[0.0014944519663208148, 0.05374148742934804, 0.2519882836181713]","[0.9427210082715347, 1.50843474997054, 2.083366682660124]",0.5035322310408422,0.8910268766138715,cqed_sim_targeted_subspace,False,546,0.0,direct ideal-SQR target U = sum_n |n><n| tensor R_x(theta_n)
chi_plus_chiprime_smooth_x_na3_chiT3p0,echoed_symmetric,chi_plus_chiprime,True,smooth_x,3,3.0,"[0.9424777960769379, 1.5079644737231006, 2.0734511513692633]","[0.0, 0.0, 0.0]",1056.3380281690138,1056.3380281690138,1136.3380281690138,528.1690140845069,528.1690140845069,0.0,40.0,True,0.15957590939094318,0.019505227622767036,1.4884110521654341,4.7841092988445055e-06,0.3562664616526723,0.028715878803435256,1.0,0.9999999999999997,0.0,0.0,1.295260195396016e-16,3.3306690738754696e-16,1.0626349536468627,0.2357752529786373,0.5238905709619013,1.3024251058081056,1.5056411448131872,"[0.8612614682486829, 0.6588721174211727, 0.7016227860831209]","[0.7918922023730244, 0.48830817613175903, 0.5524341791246814]","[0.9375390913199974, 0.8481159798589389, 1.3668045265794628]","[3.111551048159509, 1.5295830649311546, 0.4690747220287707]","[6.942045760195157e-05, 0.5238905709619013, 0.1833657675164087]","[0.947414280613197, 1.5056411448131872, 1.4542198919979326]",0.028815725804778883,0.0060706837551555305,cqed_sim_half_target_seed,False,382,0.0,ideal echoed algebra with identical half targets R_x(theta_n/2) and two finite X_pi refocusing pulses
chi_plus_chiprime_smooth_x_na3_chiT3p0,echoed_independent,chi_plus_chiprime,True,smooth_x,3,3.0,"[0.9424777960769379, 1.5079644737231006, 2.0734511513692633]","[0.0, 0.0, 0.0]",1056.3380281690138,1056.3380281690138,1136.3380281690138,528.1690140845069,528.1690140845069,0.0,40.0,False,0.15957272590366256,0.019501513554272976,1.488403449894125,6.823396514777902e-06,0.35629132353393766,0.0287602453899414,1.0000000000000002,0.9999999999999999,0.0,0.0,1.850371707708594e-17,1.1102230246251565e-16,1.0626211000812007,0.2356026027154001,0.5235545560435717,1.3022718738739743,1.5054706541880725,"[0.8613098704666052, 0.6589625674906255, 0.7016663916890417]","[0.7919648056999079, 0.48844385123593825, 0.5524995875335625]","[0.9377197643039158, 0.8485418322388886, 1.3666874109887481]","[3.128559430636694, 1.5293460618820411, 0.4689846089702361]","[6.390742340479626e-05, 0.5235545560435717, 0.1831893446792238]","[0.9472354234657515, 1.5054706541880725, 1.4541095439680987]",0.028808223377735306,0.006066588853406972,powell_composite_echo,False,70,4.111298300005728,ideal echoed algebra with independent half corrections and equal durations
chi_plus_chiprime_smooth_x_na3_chiT3p0,echoed_asymmetric,chi_plus_chiprime,True,smooth_x,3,3.0,"[0.9424777960769379, 1.5079644737231006, 2.0734511513692633]","[0.0, 0.0, 0.0]",1056.3380281690138,1056.3380281690138,1136.3380281690138,528.1690140845069,528.1690140845069,0.0,40.0,False,0.15957303298024436,0.019501871810285107,1.4884041938265655,6.697896664897716e-06,0.35628952147201165,0.02875811684030084,0.9999999999999999,0.9999999999999997,0.0,0.0,1.6653345369377348e-16,3.3306690738754696e-16,1.062620410536363,0.2356041571200537,0.523566834264209,1.302282511607916,1.5054905732298958,"[0.861309007899024, 0.6589549539054266, 0.701662944232103]","[0.791963511848536, 0.4884324308581399, 0.5524944163481544]","[0.9377167929523046, 0.8485464369576413, 1.3666828860358688]","[3.132732873886883, 1.5293851329196293, 0.4690195890042306]","[4.29838797512333e-05, 0.523566834264209, 0.1832026532162009]","[0.9472386122369759, 1.5054905732298958, 1.4541183493568761]",0.02880843058556203,0.006067105933640365,powell_composite_echo,False,80,4.7368306999997,ideal echoed algebra with independent half corrections and weak duration asymmetry
chi_plus_chiprime_smooth_x_na3_chiT5p0,direct_multitone,chi_plus_chiprime,True,smooth_x,3,5.0,"[0.9424777960769379, 1.5079644737231006, 2.0734511513692633]","[0.0, 0.0, 0.0]",1760.5633802816897,1760.5633802816897,1760.5633802816897,1760.5633802816897,0.0,0.0,0.0,True,0.5596235377757987,0.4862274607384318,0.7808118063851895,2.6632532629174096e-06,0.5465293318419585,0.25920334695304137,1.0000000000000002,1.0,0.0,0.0,0.0,0.0,0.5845587849401619,0.13792780035240396,0.36035326280478386,1.5145797687954008,2.093306657783862,"[0.8626234102712601, 0.6872754123429763, 0.4915006281076278]","[0.79393511540689, 0.5309131185144644, 0.23725094216144169]","[0.9400856663396137, 1.4443194207952637, 1.4830412412778688]","[1.5256975732721545, 1.5690380275500369, 1.5705465534546732]","[0.0022552581696065016, 0.05117488008282147, 0.36035326280478386]","[0.9423700542274941, 1.5080625943748454, 2.093306657783862]",0.5037031348520068,0.8554855793029262,cqed_sim_targeted_subspace,False,379,0.0,direct ideal-SQR target U = sum_n |n><n| tensor R_x(theta_n)
chi_plus_chiprime_smooth_x_na3_chiT5p0,echoed_symmetric,chi_plus_chiprime,True,smooth_x,3,5.0,"[0.9424777960769379, 1.5079644737231006, 2.0734511513692633]","[0.0, 0.0, 0.0]",1760.5633802816897,1760.5633802816897,1840.56338028169,880.2816901408448,880.2816901408448,0.0,40.0,True,0.15635618801014198,0.015748886011832292,1.4729977805922965,9.080530145325554e-06,0.35862592068299554,0.03471946588417446,1.0,0.9999999999999998,0.0,0.0,7.401486830834377e-17,2.220446049250313e-16,1.066443014540484,0.24507425431893118,0.5204387137979752,1.2817420174806895,1.5063152094996688,"[0.862473356433925, 0.6590367205833977, 0.7192428650465962]","[0.7937100346508873, 0.4885550808750964, 0.5788642975698942]","[0.9420255643541682, 0.848696426846861, 1.314190976106559]","[3.0779653648840695, 1.5290596732075517, 0.4440814112068082]","[1.3112785701529238e-05, 0.5204387137979752, 0.2147709363731168]","[0.9429291130081606, 1.5063152094996688, 1.3959817299342387]",0.028192930389239323,0.003373858375886219,cqed_sim_half_target_seed,False,376,0.0,ideal echoed algebra with identical half targets R_x(theta_n/2) and two finite X_pi refocusing pulses
chi_plus_chiprime_smooth_x_na3_chiT5p0,echoed_independent,chi_plus_chiprime,True,smooth_x,3,5.0,"[0.9424777960769379, 1.5079644737231006, 2.0734511513692633]","[0.0, 0.0, 0.0]",1760.5633802816897,1760.5633802816897,1840.56338028169,880.2816901408448,880.2816901408448,0.0,40.0,False,0.15635166837390566,0.01574361310288991,1.4729847964522793,3.877688177994797e-06,0.35863329917742565,0.034725895434584146,1.0,0.9999999999999997,0.0,0.0,1.1102230246251565e-16,3.3306690738754696e-16,1.0664393869716962,0.2449336893047485,0.5200198989020229,1.2816721407915133,1.5061916106785558,"[0.8624896565684835, 0.6591212160698278, 0.7192721756192929]","[0.7937344848527254, 0.4886818241047416, 0.5789082634289393]","[0.9418984770710875, 0.8488667957373707, 1.3143156575064083]","[2.311202618977794, 1.5287304776214108, 0.44362768350909576]","[0.00043043557009820715, 0.5200198989020229, 0.2143507334421243]","[0.9428685891075796, 1.5061916106785558, 1.3959562225884046]",0.028189137639088382,0.0033715349703070385,powell_composite_echo,False,70,5.840922899995348,ideal echoed algebra with independent half corrections and equal durations
chi_plus_chiprime_smooth_x_na3_chiT5p0,echoed_asymmetric,chi_plus_chiprime,True,smooth_x,3,5.0,"[0.9424777960769379, 1.5079644737231006, 2.0734511513692633]","[0.0, 0.0, 0.0]",1760.5633802816897,1760.5633802816897,1840.56338028169,880.2816901408448,880.2816901408448,0.0,40.0,False,0.15635186318994249,0.015743840388266213,1.4729852108115624,1.0487659148696604e-05,0.35863336615226793,0.034725862825729786,1.0,0.9999999999999999,0.0,0.0,7.401486830834377e-17,1.1102230246251565e-16,1.066439261419103,0.24493303079790316,0.5200204157240018,1.2816728534456143,1.5061959262052516,"[0.8624895041671379, 0.6591198004601666, 0.7192731616675953]","[0.7937342562507068, 0.48867970069024996, 0.5789097425013929]","[0.9418983125741829, 0.8488647298369972, 1.3143141231848756]","[2.312264753768533, 1.5287363656332673, 0.4436235727427467]","[0.0004298186849941148, 0.5200204157240018, 0.2143488579847135]","[0.9428691543637989, 1.5061959262052516, 1.3959534797677924]",0.02818928825712397,0.003371530518127999,powell_composite_echo,False,80,6.637426499997673,ideal echoed algebra with independent half corrections and weak duration asymmetry
chi_plus_chiprime_staggered_x_na2_chiT3p0,direct_multitone,chi_plus_chiprime,True,staggered_x,2,3.0,"[0.6911503837897545, 2.5132741228718345]","[0.0, 0.0]",1056.3380281690138,1056.3380281690138,1056.3380281690138,1056.3380281690138,0.0,0.0,0.0,True,0.5122225765016399,0.3902782206270499,0.866369249630655,1.753515166544445e-06,0.5040036559165062,0.09542613136038848,0.9999999999999998,0.9999999999999998,0.0,0.0,1.6653345369377348e-16,2.220446049250313e-16,0.686166681728705,0.015777443196082548,0.02811890622058212,1.6025508982871173,2.5137238670033693,"[0.9234542452923838, 0.3968754543025342]","[0.8851813679385759, 0.09531318145380124]","[0.6875705335215557, 2.4444572089680987]","[1.6343119476665589, 1.5740286214894907]","[0.0034359801715829782, 0.02811890622058212]","[0.6913779295708652, 2.5137238670033693]",0.3904715548752672,0.7929162492743543,cqed_sim_targeted_subspace,False,532,0.0,direct ideal-SQR target U = sum_n |n><n| tensor R_x(theta_n)
chi_plus_chiprime_staggered_x_na2_chiT3p0,echoed_symmetric,chi_plus_chiprime,True,staggered_x,2,3.0,"[0.6911503837897545, 2.5132741228718345]","[0.0, 0.0]",1056.3380281690138,1056.3380281690138,1136.3380281690138,528.1690140845069,528.1690140845069,0.0,40.0,True,0.31132169071808213,0.13915211339760272,1.6483254746449134,3.1788692277813837e-06,0.3958997030321971,0.06378196812395587,1.0,0.9999999999999998,0.0,0.0,1.3877787807814457e-16,2.220446049250313e-16,0.9444231342773898,0.4144554253875671,0.8288044462736033,1.5403516436490363,2.3843162552909645,"[0.9223882409826848, 0.3948585016543764]","[0.8835823614740274, 0.09228775248156466]","[0.6859048459628249, 1.8542587908007115]","[3.08318109723914, 1.5337547795397217]","[0.00010640450153085324, 0.8288044462736033]","[0.696387032007108, 2.3843162552909645]",0.06378252313892645,0.5076296515262636,cqed_sim_half_target_seed,False,257,0.0,ideal echoed algebra with identical half targets R_x(theta_n/2) and two finite X_pi refocusing pulses
