mode,winning_family,conservative_duration_ns,mean_duration_ns,hardest_n,n1_projected_swap_fidelity,n2_projected_swap_fidelity,n3_projected_swap_fidelity,mean_projected_swap_fidelity,mean_target_probability,mean_abs_phase_asymmetry_rad
storage,gaussian,300.0,246.66666666666666,1,0.6479503022658801,0.9939988228225306,0.5066619054450126,0.7162036768444744,0.9940614692702986,0.9439551842433737
readout,blackman,300.0,300.0,1,0.6479898484784382,0.9940189289698869,0.6533743673734899,0.7651277149406049,0.9940137128805242,0.8394861372631125
