time_ns,source_probability,target_probability,leakage_probability
0.0,1.0,0.0,0.0
0.25,0.9999999260037364,7.399626370639639e-08,0.0
0.5,0.999999702066853,2.97933146893211e-07,1.4886217589212144e-16
0.7500000000000001,0.9999993248576404,6.751423595557467e-07,1.8363462538236418e-17
1.0,0.9999987911179037,1.2088820961576689e-06,1.575313992885916e-16
1.25,0.999998097481868,1.9025181317388283e-06,2.9651849450470797e-16
1.5000000000000002,0.9999972405521054,2.759447894424217e-06,2.0490192862202515e-16
1.7500000000000002,0.9999962168783776,3.783121622307684e-06,1.0610358213780993e-16
2.0,0.9999950229623592,4.977037640768342e-06,2.81469048372604e-17
2.2500000000000004,0.9999936552521551,6.344747844725579e-06,1.6300810256730108e-16
2.5,0.9999921101509592,7.889849040543079e-06,2.2220554118500963e-16
2.7500000000000004,0.9999903840015717,9.61599842830026e-06,2.591920818598159e-18
3.0000000000000004,0.9999884731067877,1.1526893212317108e-05,0.0
3.25,0.9999863737035135,1.3626296486484274e-05,6.556035011748285e-18
3.5000000000000004,0.9999840819891523,1.5918010847707392e-05,0.0
3.7500000000000004,0.9999815940939802,1.840590601984286e-05,0.0
4.0,0.9999789061092945,2.1093890705624765e-05,0.0
4.25,0.9999760140533196,2.398594668074326e-05,0.0
4.500000000000001,0.9999729139103047,2.7086089695483413e-05,0.0
4.75,0.999969601587142,3.0398412857967902e-05,4.4689458297136886e-17
5.0,0.9999660729531004,3.3927046900023215e-05,0.0
5.250000000000001,0.999962323805172,3.767619482786969e-05,1.0388689691484543e-16
5.500000000000001,0.9999583498965091,4.1650103491293486e-05,0.0
5.75,0.9999541469079133,4.585309208636499e-05,3.467414072880204e-16
6.000000000000001,0.9999497104753238,5.028952467585654e-05,3.7150865066573613e-16
6.250000000000001,0.9999450361660112,5.49638339888173e-05,2.411672207422444e-17
6.5,0.9999401194876427,5.988051235752524e-05,0.0
6.75,0.999934955897447,6.504410255284182e-05,1.938960060218764e-16
7.000000000000001,0.9999295407734683,7.04592265317991e-05,0.0
7.25,0.9999238694555691,7.613054443099794e-05,0.0
7.500000000000001,0.9999179371910989,8.206280890100605e-05,1.005733040251866e-16
7.75,0.9999117392069261,8.826079307376608e-05,1.2492719532464225e-16
8.0,0.9999052706059012,9.472939409900665e-05,0.0
8.250000000000002,0.9998985265068154,0.00010147349318428125,2.860802957374564e-16
8.5,0.9998915018673922,0.00010849813260815653,0.0
8.75,0.9998841916888244,0.00011580831117528088,3.549542387445981e-16
9.000000000000002,0.9998765907839761,0.00012340921602340543,5.342948306008566e-16
9.25,0.9998686940411261,0.00013130595887372225,1.7293024651143796e-16
9.5,0.9998604961133384,0.00013950388666139315,2.25134581116615e-16
9.750000000000002,0.9998519917803707,0.00014800821962955034,0.0
10.0,0.9998431755379839,0.00015682446201587886,2.6855687812465945e-16
10.25,0.99983404204293,0.00016595795706989393,7.925517880869037e-17
10.500000000000002,0.9998245856383363,0.0001754143616637104,0.0
10.75,0.9998148008596477,0.00018519914035214642,1.6368742299099903e-16
11.000000000000002,0.999804681884937,0.000195318115062987,2.756584023544395e-17
11.250000000000002,0.9997942231280821,0.0002057768719178562,6.139294801699169e-17
11.5,0.9997834186122545,0.0002165813877451998,2.96041403197167e-16
11.750000000000002,0.9997722626051965,0.00022773739480342437,1.0446287931897835e-16
12.000000000000002,0.9997607489878,0.000239251012200085,0.0
12.25,0.999748871880167,0.0002511281198329039,6.23416249179165e-17
12.500000000000002,0.9997366250085984,0.00026337499140179706,0.0
