mode,n,family,variant,description,duration_ns,amplitude_scale,expected_pi_amplitude_MHz,amplitude_MHz,carrier_rotating_MHz,target_probability,source_probability,leakage_probability,subspace_population
storage,1,square,square,Constant envelope,12.0,0.65,20.833333333333332,13.541666666666666,-255.6696945244608,0.7139547932886117,0.2860452067113884,0.0,1.0
storage,1,square,square,Constant envelope,12.0,0.8,20.833333333333332,16.666666666666664,-255.6696945244608,0.893728872312388,0.10627112768761204,0.0,1.0
storage,1,square,square,Constant envelope,12.0,0.95,20.833333333333332,19.791666666666664,-255.6696945244608,0.9900597361017506,0.009940263898249348,7.632783294297951e-17,0.9999999999999999
storage,1,square,square,Constant envelope,12.0,1.05,20.833333333333332,21.875,-255.6696945244608,0.9969520050030979,0.0030479949969023476,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,12.0,1.2,20.833333333333332,24.999999999999996,-255.6696945244608,0.9196686836027208,0.08033131639727933,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,12.0,1.35,20.833333333333332,28.125,-255.6696945244608,0.7534507486413644,0.24654925135863512,4.718447854656915e-16,0.9999999999999996
storage,1,square,square,Constant envelope,12.0,1.5,20.833333333333332,31.25,-255.6696945244608,0.5335185038531651,0.4664814961468351,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,16.0,0.65,15.624999999999998,10.15625,-255.6696945244608,0.7170902356332337,0.2829097643667664,0.0,1.0
storage,1,square,square,Constant envelope,16.0,0.8,15.624999999999998,12.5,-255.6696945244608,0.8963516558650864,0.10364834413491347,1.6653345369377348e-16,0.9999999999999998
storage,1,square,square,Constant envelope,16.0,0.95,15.624999999999998,14.843749999999998,-255.6696945244608,0.9910446248818653,0.008955375118134804,0.0,1.0
storage,1,square,square,Constant envelope,16.0,1.05,15.624999999999998,16.406249999999996,-255.6696945244608,0.9963150836171217,0.0036849163828782993,0.0,1.0
storage,1,square,square,Constant envelope,16.0,1.2,15.624999999999998,18.749999999999996,-255.6696945244608,0.9161740653937176,0.08382593460628253,0.0,1.0000000000000002
storage,1,square,square,Constant envelope,16.0,1.35,15.624999999999998,21.09375,-255.6696945244608,0.747231257217564,0.252768742782436,0.0,1.0
