time_ns,source_probability,target_probability,leakage_probability
0.0,1.0,0.0,0.0
0.25,0.9999998620515637,1.3794843620392173e-07,1.3670741191769984e-16
0.5,0.999999443081633,5.569183673167669e-07,0.0
0.7500000000000001,0.9999987346398506,1.2653601490274815e-06,4.1086222491164455e-16
1.0,0.9999977283146967,2.271685303545772e-06,0.0
1.25,0.9999964154273331,3.5845726671949324e-06,0.0
1.5000000000000002,0.9999947871534922,5.212846507697898e-06,8.707583401068933e-17
1.7500000000000002,0.9999928344932978,7.1655067020490765e-06,1.6231184148465805e-16
2.0,0.9999905482692728,9.451730727117885e-06,7.674457315302863e-17
2.2500000000000004,0.9999879191251432,1.2080874856912276e-05,0.0
2.5,0.9999849375240262,1.5062475973753693e-05,7.23467780908843e-17
2.7500000000000004,0.9999815937460051,1.8406253995037072e-05,0.0
3.0000000000000004,0.9999778778809685,2.2122119031135483e-05,3.8468848332501304e-16
3.25,0.9999737798362445,2.6220163755430358e-05,1.000210385435768e-16
3.5000000000000004,0.9999692893172211,3.071068277912384e-05,0.0
3.7500000000000004,0.9999643958501342,3.5604149865821725e-05,0.0
4.0,0.9999590887420273,4.091125797287623e-05,0.0
4.25,0.9999533571304102,4.6642869589905175e-05,0.0
4.500000000000001,0.9999471899098838,5.2810090116144416e-05,6.593304461427474e-18
4.75,0.999940575821364,5.9424178635965096e-05,5.990894629340215e-17
5.0,0.9999335033330653,6.649666693477484e-05,0.0
5.250000000000001,0.9999259607811241,7.403921887577807e-05,1.6504267570660591e-16
5.500000000000001,0.9999179361938545,8.206380614576026e-05,0.0
5.75,0.9999094174930806,9.058250691940865e-05,0.0
6.000000000000001,0.9999003922534153,9.960774658483213e-05,0.0
6.250000000000001,0.9998908479703588,0.00010915202964114838,8.677683138030856e-17
6.5,0.9998807717580154,0.00011922824198474178,0.0
6.75,0.9998701506680145,0.0001298493319855723,0.0
7.000000000000001,0.9998589713476126,0.00014102865238749775,0.0
7.25,0.9998472203865906,0.00015277961340955362,0.0
7.500000000000001,0.9998348839603353,0.00016511603966514352,0.0
7.75,0.9998219481771203,0.00017805182287983115,0.0
8.0,0.99980839873675,0.00019160126324994185,7.673440875766158e-17
8.250000000000002,0.9997942212448462,0.0002057787551537281,9.007009547923328e-17
8.5,0.9997794009232908,0.00022059907670905074,1.8732303035118303e-16
8.75,0.999763922849947,0.0002360771500530195,7.26415455565288e-18
9.000000000000002,0.9997477717691791,0.0002522282308209787,0.0
9.25,0.9997309322106543,0.0002690677893455977,5.843849709696869e-17
9.5,0.9997133884367269,0.0002866115632732845,0.0
9.750000000000002,0.9996951244062315,0.0003048755937682167,2.443791696782327e-16
10.0,0.9996761238972881,0.0003238761027120299,0.0
10.25,0.9996563702751862,0.0003436297248142293,0.0
10.500000000000002,0.9996358468309263,0.0003641531690739933,0.0
10.75,0.9996145363143093,0.0003854636856906676,3.361026734705064e-17
11.000000000000002,0.9995924215250707,0.0004075784749294656,0.0
11.250000000000002,0.9995694845773659,0.0004305154226340222,3.686287386450715e-17
11.5,0.9995457077697898,0.00045429223021025594,0.0
11.750000000000002,0.9995210725654208,0.0004789274345792499,0.0
12.000000000000002,0.9994955607575666,0.0005044392424334613,0.0
12.25,0.9994691531403463,0.0005308468596538202,0.0
12.500000000000002,0.9994418309863614,0.0005581690136384526,1.3487475025719675e-16
12.75,0.9994135744168974,0.0005864255831025138,1.0950441942103595e-16
13.0,0.9993843641464947,0.0006156358535052251,1.0018028073766061e-16
13.250000000000002,0.9993541796407038,0.0006458203592960555,1.119980844177526e-16
13.5,0.999323001011114,0.0006769989888857063,2.509928029303943e-16
13.75,0.9992908070871223,0.0007091929128776892,5.377642775528102e-17
14.000000000000002,0.9992575773309403,0.0007424226690595,1.6132928326584306e-16
14.25,0.9992232899511937,0.0007767100488060911,2.1499729080387553e-16
14.5,0.999187923717524,0.0008120762824759928,4.466912950640278e-17
14.750000000000002,0.999151456243635,0.0008485437563650512,0.0
15.000000000000002,0.9991138655536979,0.0008861344463023084,0.0
15.250000000000002,0.9990751286876696,0.0009248713123302528,1.8030282128433939e-16
15.5,0.9990352228776094,0.0009647771223905496,7.578573185673676e-17
15.750000000000002,0.99899412460844,0.0010058753915599624,8.912141857830846e-17
16.0,0.9989518102758536,0.0010481897241465697,0.0
16.25,0.9989082558257304,0.0010917441742694972,1.0711917464156784e-16
16.500000000000004,0.9988634367762426,0.0011365632237576842,0.0
16.75,0.9988173285475167,0.0011826714524830893,2.0773313624822265e-16
17.0,0.9987699057362837,0.0012300942637163573,0.0
17.250000000000004,0.9987211432508899,0.0012788567491101377,0.0
17.5,0.9986710147407458,0.0013289852592540123,1.6609977282477928e-16
17.75,0.9986194945984309,0.0013805054015688792,2.0838365755171395e-16
18.000000000000004,0.9985665555008955,0.0014334444991045106,3.0791341698588326e-17
18.25,0.9985121713215103,0.001487828678490087,0.0
18.5,0.9984563137450849,0.001543686254914833,2.445960101127298e-16
18.750000000000004,0.9983989561161515,0.0016010438838485364,0.0
19.0,0.9983400691208107,0.0016599308791890649,1.8821749714348357e-16
19.25,0.9982796255473534,0.0017203744526466027,8.673617379884035e-18
19.500000000000004,0.998217595106084,0.0017824048939157984,2.1358782797964437e-16
19.75,0.9981539499260313,0.001846050073968403,2.495833401061631e-16
20.0,0.9980886588347613,0.001911341165238837,0.0
20.250000000000004,0.9980216931962075,0.0019783068037929298,0.0
