time_ns,source_probability,intermediate_probability,target_probability,leakage_probability,reduced_target_probability
0.0,1.0,0.0,0.0,0.0,6.099169245327161e-32
0.25,0.999960497623508,3.9501986336842097e-05,3.901545714276985e-10,5.597768566174074e-16,3.8960987334441953e-10
0.5,0.9998421138323572,0.00015787993248901622,6.235099111880828e-09,5.4656416147239694e-14,6.2324865704454335e-09
0.7500000000000001,0.9996449586681893,0.000355009781980975,3.1549207109626415e-08,6.226612792900358e-13,3.1541238426022984e-08
1.0,0.9993692852217766,0.0006306151236923198,9.965103347257118e-08,3.4976144601791023e-12,9.963845267489558e-08
1.25,0.9990154121485838,0.000984344719529993,2.4311855219142104e-07,1.3334012174439735e-11,2.4310911260220296e-07
1.5000000000000002,0.9985837619725317,0.0014157342721651505,5.037155171816546e-07,3.978593180665819e-11,5.03734095732625e-07
1.7500000000000002,0.9980748426079673,0.0019242249882366175,9.323035586999187e-07,1.0023737731497584e-10,9.324048670195529e-07
2.0,0.997489260690995,0.0025091503509148704,1.588734959422585e-06,2.2313073482232026e-10,1.5890195132492391e-06
2.2500000000000004,0.9968277043319025,0.0031697534960148308,2.5417202290327782e-06,4.5185364986949093e-10,2.542360296896751e-06
2.5,0.9960909601199024,0.0039051703445609114,3.868686326554315e-06,8.492101432329047e-10,3.869952939411942e-06
2.7500000000000004,0.9952799016762421,0.004714441218103093,5.655603240956122e-06,1.5024138109892321e-09,5.657907875321434e-06
3.0000000000000004,0.9943954780245897,0.005596522641038144,7.99680574180799e-06,2.5286303294800043e-09,8.00074374956849e-06
3.25,0.9934387521667082,0.006550248964006884,1.099478826781682e-05,4.08101711618979e-09,1.1001193461099757e-05
3.5000000000000004,0.9924108375468537,0.007574396114448929,1.4759983444341629e-05,6.355253065555954e-09,1.4769993085848087e-05
3.7500000000000004,0.9913129699234394,0.008667609963401605,1.9410516653622146e-05,9.5965053487906e-09,1.942565404183808e-05
4.0,0.990146424665674,0.009828489247838837,2.507197953388568e-05,1.4106953236157574e-08,2.5094218888178572e-05
4.25,0.9889125954233823,0.011055507210559357,3.1877112575785174e-05,2.0253482578483763e-08,3.190900117810333e-05
4.500000000000001,0.9876129324400308,0.012347073521679101,3.9965562259414674e-05,2.8476030695785367e-08,4.001030981396576e-05
4.75,0.9862489810547688,0.0137014961133384,4.9483535828679855e-05,3.929606415056932e-08,4.95451583791279e-05
5.0,0.9848223430451397,0.01511702010516625,6.058352409671457e-05,5.332559732038045e-08,6.0666959947963836e-05
5.250000000000001,0.9833347158785671,0.01659178891917835,7.342392607895474e-05,7.127617556029211e-08,7.353520790070465e-05
5.500000000000001,0.9817878474760171,0.018123889813343428,8.816874211699878e-05,9.396852246730493e-08,8.831514329445613e-05
5.75,0.9801835631321284,0.019711327335548014,0.00010498719027172629,1.223420518607632e-07,0.00010517740936560806
6.000000000000001,0.9785237553360544,0.021352033858911643,0.00012405334030430045,1.5746472965531724e-07,0.0001242976937615952
6.250000000000001,0.9768103810522328,0.02304387267597198,0.00014554572875029553,2.0054304489020187e-07,0.0001458563591220185
6.5,0.9750454592486868,0.0247846408551741,0.0001696469640655207,2.5293207358434043e-07,0.00017003806264999464
6.75,0.9732310686290707,0.026572071904066342,0.00019654332126834264,3.161455945986484e-07,0.00019703136533457397
7.000000000000001,0.9713693452855631,0.028403838521709395,0.0002264243264863707,3.918662411658239e-07,0.00022702833150391177
7.25,0.9694624801205234,0.030277555591629108,0.00025948233222540355,4.819556221041105e-07,0.0002602241194067187
7.500000000000001,0.9675127160611866,0.03219078338997952,0.00029591208443810837,5.884643957639654e-07,0.00029681656353616384
7.75,0.9655223452255741,0.03414103084974797,0.00033591028245586325,7.136422220485497e-07,0.000337005749425948
8.0,0.9634937060494094,0.03612575887041088,0.0003796751326051347,8.599475745558484e-07,0.0003809935816627427
8.250000000000002,0.9614291803291047,0.0381423837170093,0.0004274058965328549,1.030057353106214e-06,0.00042898334587223674
8.5,0.9593311904142324,0.040188280274941646,0.00047930243456418523,1.2268762617426415e-06,0.00048117926544822274
8.75,0.9572021963021584,0.04226078540722146,0.0005355647447102908,1.453545909834591e-06,0.0005377860538047401
9.000000000000002,0.9550446926367231,0.04435720141134632,0.0005963924983329179,1.7134535976736113e-06,0.0005990084629409265
9.25,0.9528612056697878,0.0464747995164483,0.0006619845730344095,2.010240729467274e-06,0.000665050829116478
9.5,0.9506542912750162,0.04861082239579389,0.0007325385185867857,2.3478106031089244e-06,0.0007361166164424698
9.750000000000002,0.9484265027812606,0.0507625165208309,0.0008082503591338749,2.730338774608893e-06,0.000812407959198254
10.0,0.9461804936628645,0.052927030425724234,0.0008893136400167885,3.1622713944811287e-06,0.0008941252036891346
10.25,0.9439188282042217,0.0551016039007627,0.0009759195491597769,3.648345855840904e-06,0.0009814664504630335
10.500000000000002,0.941644200468874,0.05728335012952923,0.0010682558215477278,4.193580049058907e-06,0.0010746270977057496
10.75,0.9393592023448755,0.05946948742651122,0.0011665069323333718,4.803296279945728e-06,0.0011737993866350722
11.000000000000002,0.9370665569968679,0.0616571069291571,0.0012708529700817192,5.48310389326262e-06,0.001279171949713005
11.250000000000002,0.9347688558132796,0.06384343540614637,0.0013814698487259439,6.2389318480657145e-06,0.0013909293624932678
11.5,0.9324688231329781,0.06602557161036304,0.0014985282568292049,7.0769998296769075e-06,0.001509251699917481
11.750000000000002,0.930169076817693,0.06820072562912984,0.0016221937035872686,8.003849589888158e-06,0.001634314097868812
12.000000000000002,0.9278723409606942,0.0703660071366212,0.0017526255865058093,9.026316178842959e-06,0.0017662863207855656
12.25,0.9255812168585013,0.07251865409236104,0.0018899774782967303,1.0151570840977913e-05,0.0019053323361297022
12.500000000000002,0.9232984052478169,0.07465581177211651,0.002034395907007113,1.138707305945244e-05,0.002051609896496476
12.75,0.9210264943331047,0.07677474458914663,0.002186020467021104,1.2740610727585925e-05,0.002205270130141432
13.0,0.918768083906931,0.07887271253264362,0.0023449832802872254,1.4220280138165387e-05,0.002366457140689469
13.250000000000002,0.9165258278428361,0.08094692911403682,0.0025114085786052467,1.5834464521836955e-05,0.0025353076167781356
13.5,0.9143022669230025,0.08299472881489026,0.0026854123897159196,1.759187239128634e-05,0.002711950452373634
13.75,0.9120999481541765,0.08501344822555298,0.002867102117910644,1.9501502359872778e-05,0.002896506378482532
14.000000000000002,0.9099213873927254,0.08700046373255618,0.0030565762280634623,2.1572646654921535e-05,0.0030890876069664345
14.25,0.9077690664379974,0.08895319476563099,0.0032539239113599555,2.3814885011682035e-05,0.0032897974871488474
