n,mechanism,target_coupling_MHz,common_detuning_MHz,storage_leg_lab_frequency_GHz,readout_leg_lab_frequency_GHz,storage_leg_rotating_frequency_MHz,readout_leg_rotating_frequency_MHz,storage_matrix_element,readout_matrix_element,storage_amplitude_MHz,readout_amplitude_MHz,simulation_duration_ns,peak_target_probability,time_to_peak_target_ns,max_intermediate_probability,intermediate_at_target_peak,leakage_at_target_peak,final_target_probability,reduced_peak_target_probability,reduced_peak_time_ns,reduced_max_intermediate_probability,resonant_peak_time_ns,raman_peak_time_ns,peak_target_error_vs_reduced,peak_time_error_vs_reduced_ns,dominant_peak_states,dominant_final_states,source_label,intermediate_label,target_label,case_role,selection_status,selection_rule
1,resonant_bright_state,12.0,0.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,12.0,12.0,80.0,0.9999976870169066,29.500000000000004,0.49975017772516334,2.3127755120134414e-06,0.0,0.6462419744059636,0.9999921256621527,29.500000000000004,0.4998599640338528,29.462782549439478,,5.56135475393571e-06,0.0,"[[""|g,1,0>"", 0.9999976870169066], [""|f,0,0>"", 2.3127755120134414e-06]]","[[""|g,1,0>"", 0.6462419744059636], [""|f,0,0>"", 0.3152918075512545], [""|g,0,1>"", 0.03846621804278175]]","|g,0,1>","|f,0,0>","|g,1,0>",best_resonant,meets_threshold,Minimize transfer time subject to peak target >= 0.99 in the resonant manifold.
1,detuned_raman_like,4.0,20.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,4.0,4.0,421.5,0.9967674333916653,348.00000000000006,0.12108058357211807,2.319087182785474e-05,1.1102230246251565e-16,0.7536568946930798,0.9966300767830545,348.00000000000006,0.12120940572031763,88.38834764831844,312.5,0.00013735660861080579,0.0,"[[""|g,1,0>"", 0.9967674333916653], [""|g,0,1>"", 0.0032093757365066937], [""|f,0,0>"", 2.319087182785474e-05]]","[[""|g,1,0>"", 0.7536568946930798], [""|g,0,1>"", 0.16163313809682073], [""|f,0,0>"", 0.08470996721009938]]","|g,0,1>","|f,0,0>","|g,1,0>",best_detuned,meets_threshold,Minimize intermediate-state population subject to peak target >= 0.95 in the detuned Raman-like regime.
2,resonant_bright_state,4.0,0.0,6.798434192441636,3.4431444363628407,-261.3505365244608,-261.3505365244608,1.4142135623730951,1.0,2.82842712474619,4.0,141.0,0.6855253515018647,82.0,0.5085290064503678,0.055932164089268724,0.2581945670755791,0.0937621224073204,0.9999921256621533,88.5,0.4999956985744398,88.38834764831844,,-0.3144667741602887,-6.5,"[[""|g,1,1>"", 0.6855253515018647], [""|g,2,0>"", 0.14559808865318402], [""|f,1,0>"", 0.11259647842239513], [""|f,0,1>"", 0.055932164089268724], [""|g,0,2>"", 0.0003479173332874921]]","[[""|g,2,0>"", 0.36534048562264415], [""|f,0,1>"", 0.2866495085140311], [""|g,0,2>"", 0.1535030674255655], [""|f,1,0>"", 0.10074481603043844], [""|g,1,1>"", 0.0937621224073204]]","|g,0,2>","|f,0,1>","|g,1,1>",best_resonant,best_available,Minimize transfer time subject to peak target >= 0.99 in the resonant manifold.
2,detuned_raman_like,4.0,20.0,6.798434192441636,3.4431444363628407,-261.3505365244608,-261.3505365244608,1.4142135623730951,1.0,2.82842712474619,4.0,421.5,0.5246730167940177,254.00000000000003,0.1211750216123147,0.02543386540770352,0.26481428102263116,0.23357200134880834,0.9966300767830545,348.00000000000006,0.12120940572031763,88.38834764831844,312.5,-0.4719570599890368,-94.00000000000003,"[[""|g,1,1>"", 0.5246730167940177], [""|g,2,0>"", 0.2119097367603709], [""|g,0,2>"", 0.18507883677564765], [""|f,1,0>"", 0.052904544262259975], [""|f,0,1>"", 0.02543386540770352]]","[[""|g,2,0>"", 0.639667107733986], [""|g,1,1>"", 0.23357200134880834], [""|f,1,0>"", 0.07794681077826394], [""|f,0,1>"", 0.03000322779023853], [""|g,0,2>"", 0.018810852348703316]]","|g,0,2>","|f,0,1>","|g,1,1>",best_detuned,best_available,Minimize intermediate-state population subject to peak target >= 0.95 in the detuned Raman-like regime.
3,resonant_bright_state,4.0,0.0,6.792753350441636,3.437463594362842,-267.03137852446076,-267.03137852446076,1.7320508075688772,1.0,2.309401076758503,4.0,141.0,0.608295584727537,79.5,0.5114591158996384,0.09657584840537004,0.29501127888961964,0.07079094175323983,0.9999921256621533,88.5,0.4999956985744398,88.38834764831844,,-0.39169654093461637,-9.0,"[[""|g,1,2>"", 0.608295584727537], [""|g,2,1>"", 0.1454971150616399], [""|f,1,1>"", 0.1404311307345778], [""|f,0,2>"", 0.09657584840537004], [""|f,2,0>"", 0.005942502416527143], [""|g,3,0>"", 0.0031405306768744674]]","[[""|g,2,1>"", 0.3698898673373228], [""|f,0,2>"", 0.23406251327122446], [""|g,3,0>"", 0.14399836247018896], [""|g,0,3>"", 0.09634857414942614], [""|f,1,1>"", 0.08285644065603155], [""|g,1,2>"", 0.07079094175323983]]","|g,0,3>","|f,0,2>","|g,1,2>",best_resonant,best_available,Minimize transfer time subject to peak target >= 0.99 in the resonant manifold.
3,detuned_raman_like,4.0,20.0,6.792753350441636,3.437463594362842,-267.03137852446076,-267.03137852446076,1.7320508075688772,1.0,2.309401076758503,4.0,421.5,0.46559784907350527,252.00000000000003,0.12120755925731179,0.0333820522785545,0.290504842082324,0.2003731517820029,0.9966300767830545,348.00000000000006,0.12120940572031763,88.38834764831844,312.5,-0.5310322277095492,-96.00000000000003,"[[""|g,1,2>"", 0.46559784907350527], [""|g,0,3>"", 0.2105152565656162], [""|g,2,1>"", 0.20708383605359487], [""|f,1,1>"", 0.04908918551909935], [""|f,0,2>"", 0.0333820522785545], [""|g,3,0>"", 0.033069034153620655]]","[[""|g,2,1>"", 0.434361183350386], [""|g,3,0>"", 0.26457464161434985], [""|g,1,2>"", 0.2003731517820029], [""|f,1,1>"", 0.04303186523573589], [""|g,0,3>"", 0.025867319182508255], [""|f,0,2>"", 0.02152516640449186]]","|g,0,3>","|f,0,2>","|g,1,2>",best_detuned,best_available,Minimize intermediate-state population subject to peak target >= 0.95 in the detuned Raman-like regime.
