time_ns,source_probability,intermediate_probability,target_probability,leakage_probability,reduced_target_probability
0.0,1.0,0.0,0.0,0.0,3.0814879110195746e-33
0.25,0.9996444316425107,0.00035553674493604947,3.161255308358602e-08,1.55666007745611e-16,3.155680781302013e-08
0.5,0.9985792221896451,0.0014202728044541487,5.050059009310184e-07,0.0,5.047295545165474e-07
0.7500000000000001,0.9968059281583003,0.0031915172468299463,2.5545948699048882e-06,0.0,2.5536805763772097e-06
1.0,0.9943279106123504,0.00566402336040732,8.06602724260931e-06,0.0,8.064202334381198e-06
1.25,0.9911494938243941,0.008830836181211554,1.9669994394270994e-05,7.35868343256646e-17,1.9667014296549902e-05
1.5000000000000002,0.987276325355183,0.01268294211103635,4.073253378083024e-05,0.0,4.072840659468688e-05
1.7500000000000002,0.9827152624270226,0.01720939439868318,7.534317429417566e-05,8.246712774467868e-17,7.533825838033402e-05
2.0,0.977474367755119,0.022397331873985744,0.00012830037089519008,8.754932542820448e-17,0.00012829546664537258
2.2500000000000004,0.9715628944893929,0.02823201116100667,0.0002050943496002401,1.6349768761081407e-16,0.00020509082901048307
2.5,0.9649912599844577,0.03469685248313984,0.00031188753240254735,0.0,0.00031188743159735324
2.7500000000000004,0.9577710225729641,0.041773484952872746,0.0004554924741631087,5.323432666903827e-17,0.0004554986005661853
3.0000000000000004,0.949914853118816,0.04944179942482919,0.000643347456354435,4.172009959724221e-16,0.0006433634831972231
3.25,0.9414365047881074,0.05768000543913617,0.0008834897727562561,2.080583968999683e-16,0.0008835203315026405
3.5000000000000004,0.9323507800128593,0.06646469318540844,0.0011845268017325618,0.0,0.0011845775682528664
3.7500000000000004,0.9226734950430638,0.07577090001016458,0.0015556049467714825,9.73613550891983e-17,0.0015556827219692579
4.0,0.9124214421139643,0.08557218134664174,0.002006376539394335,0.0,0.002006489323853868
4.25,0.9016123493417595,0.09584068585495592,0.0025469648032845488,4.163336342344337e-17,0.002547121865778362
4.500000000000001,0.890264838456303,0.10654723455918909,0.0031879269845077073,2.0599841277224584e-16,0.0031881389243201648
4.75,0.878398380435008,0.11766140380660954,0.003940215758382368,1.3877787807814457e-16,0.003940494561397635
5.0,0.8660332492321189,0.12915161174034423,0.0048151390275369115,0.0,0.004815498117301906
5.250000000000001,0.8531904738642453,0.1409852078991543,0.005824318236600812,0.0,0.005824772516834832
5.500000000000001,0.8398917885561461,0.15312856611619927,0.006979645327654539,9.280770596475918e-17,0.00698021121382735
5.75,0.8261595231410056,0.16554723823912237,0.008293238619872082,0.0,0.008293933903516135
6.000000000000001,0.812016772728306,0.1782058302108916,0.009777397060802186,2.5326962749261384e-16,0.009778241136087098
6.250000000000001,0.7974869764094298,0.19106846941376862,0.011444554176801755,0.0,0.011445567968140996
6.5,0.7825942632043048,0.20409850580662892,0.013307230989066119,1.5785983631388945e-16,0.013308436791888872
6.75,0.7673629944906725,0.21725901796336664,0.015377987545960864,3.2959746043559335e-17,0.015379409484534161
7.000000000000001,0.7518181230934111,0.23051250097775053,0.0176693759288381,2.5326962749261384e-16,0.017671039022537187
7.25,0.7359847034162064,0.24382140741713249,0.02019388916666121,0.0,0.02019582070727875
7.500000000000001,0.719888208154418,0.2571478777448689,0.022963914100713256,0.0,0.022966143150038282
7.75,0.7035543084767228,0.27045400791130747,0.025991683611969234,4.510281037539698e-16,0.025994239165172645
8.0,0.6870087537384096,0.2837020220553519,0.029289224206238612,0.0,0.0292921367209245
8.250000000000002,0.6702775048971382,0.29685418405901004,0.03286831104385171,2.7755575615628914e-17,0.032871610097397704
8.5,0.6533863835535421,0.3098732035455486,0.0367404129009093,4.85722573273506e-17,0.03674413140091587
