noise_scenario,description,transmon_t1_s,transmon_t2_ramsey_s,transmon_tphi_s,scale_factor,source
mode_only,Storage/readout dissipation only; no transmon relaxation or dephasing.,,,,,cQED_simulation/examples/workflows/simulate_fock_tomo_and_sqr_calibration.py
transmon_reference_x0.5,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 0.5 relative to the matched local tomography reference.,4.906436924122556e-06,3.162365563564185e-06,4.666093629079469e-06,0.5,cQED_simulation/examples/workflows/simulate_fock_tomo_and_sqr_calibration.py
transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,9.812873848245112e-06,6.32473112712837e-06,9.332187258158938e-06,1.0,cQED_simulation/examples/workflows/simulate_fock_tomo_and_sqr_calibration.py
transmon_reference_x2.0,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 2.0 relative to the matched local tomography reference.,1.9625747696490225e-05,1.264946225425674e-05,1.8664374516317877e-05,2.0,cQED_simulation/examples/workflows/simulate_fock_tomo_and_sqr_calibration.py
